record_id,question,answer,pred_material,gold_material,pred_formula,gold_formula,pred_numeric_value,gold_numeric_value,pred_unit,gold_unit,pred_property,gold_property,pred_phase,gold_phase,pred_structure,gold_structure,pred_method,gold_method,pred_evidence,gold_evidence,pred_qualifier,gold_qualifier,annotator_comment,annotation_complete,constraint_family,document_status_raw,blind_id
resp_023d7426b05c1378,What is the formation energy of Pr?,The formation energy of Pr is 0.008044545 eV/atom.,,Pr,,Pr,0.008044545,0.008044545,eV/atom,eV/atom,formation_energy,formation_energy,,,,,,,formation energy,formation energy,,,,yes,formation_energy,current,BLIND-0092
resp_04738b10695dd165,Is Al thermodynamically stable?,Al is stable.,,Al,,Al,,,,,stability,stability,,,,,,,,,,,,yes,stability,incomplete,BLIND-0136
resp_0bac44c6afefeec8,What is the main materials-science claim reported in the source titled 'Kondo singlet from ferromagnetic coupling: an analog of Anderson-Morel superconductivity in the magnetic channel'?,Fourier's law dictates that heat flow is usually parallel to the applied temperature gradient.,,,,,,,,,temperature,temperature,,,,,,,,temperature gradient,,,,yes,temperature,incomplete,BLIND-0159
resp_05c9d45c8c03a92f,Report the synthesis pressure of La2CuO4.,"The retrieved context gives a pressure of −2.3 GPa, but that value applies to SnO2, not La2CuO4; the synthesis pressure for La2CuO4 remains unreported.",SnO2; La2CuO4,SnO2; La2CuO4,SnO2; La2CuO4,SnO2; La2CuO4,2.3,-2.3,GPa,GPa,pressure,pressure,,,,,,,,pressure; synthesis pressure,,not La2CuO4; unreported,"Reported pressure is explicitly for SnO2, not the queried La2CuO4.",yes,pressure,incomplete,BLIND-0193
resp_049e515c19216bbf,Is a pressure of -2 GPa physically valid in a standard pressure report?,A pressure of -2 GPa is not physically valid in a standard pressure report unless a stress sign convention is explicitly defined.,,,,,-2.0,-2,GPa,GPa,pressure,pressure,,,,,,,,,,not physically valid; unless a stress sign convention is explicitly defined,,yes,pressure,current,BLIND-0028
resp_143be3cf142f823b,"What is the main materials-science claim reported in the source titled 'Uncovering multi-channel magnetic hopfion annihilation via a single-node, billion-spin-scale atomistic framework'?","A strongly interacting chain of Majorana fermions realizes the supersymmetric tricritical Ising phase, with supersymmetry (SUSY) extending into a symmetry-broken ordered phase adjacent to the tricritical point.",,,,,,,,,,,,supersymmetric tricritical Ising phase; symmetry-broken ordered phase,,,,,,,,,"Physics phases, no clear material entity in answer.",yes,natural_claim,incomplete,BLIND-0179
resp_010e16a94a8d3858,Is Li thermodynamically stable?,Li has energy above hull 0.008819463333333001 eV/atom and formation energy 0.008819463333333001 eV/atom; Materials Project stable is False.,,Li,,Li,0.008819463333333,0.008819463333333001,eV/atom,eV/atom,formation_energy; stability,formation_energy; stability,,,,,,,energy above hull; formation energy,energy above hull; formation energy,,stable is False,,yes,formation_energy,current,BLIND-0063
resp_00fcbc9929e747e6,What is the formation energy of H2?,The formation energy of H2 is 1.188433449375 eV/atom.,,H2,,H2,1.188433449375,1.188433449375,eV/atom,eV/atom,formation_energy,formation_energy,,,,,,,formation energy,formation energy,,,,yes,formation_energy,current,BLIND-0061
resp_0cf5a20236608e6a,Is Xx2O3 a valid materials formula?,"No, Xx2O3 is not a valid materials formula because it does not use recognized element symbols.",Xx2O3,Xx2O3,Xx2O3,Xx2O3,,,,,,,,,,,,,,,,not a valid materials formula; not use recognized element symbols,,yes,chemical_formula,outdated_or_incorrect,BLIND-0031
resp_0263d8867645eb6a,What is the band gap of V?,The band gap of V is 0.0 eV according to Materials Project.,,V,,V,0.0,0.0,eV,eV,band_gap,band_gap,,,,,,Materials Project,,,,,,yes,band_gap,current,BLIND-0099
resp_0363b0158b7b23b9,Give the formula for SiC.,The reported formula for SrTiO3 is Ab3Cd9.,SrTiO3; Ab3Cd9,SrTiO3; Ab3Cd9,SrTiO3; Ab3Cd9,SrTiO3; Ab3Cd9,,,,,,,,,,,,,,reported formula,,,Answer reports SrTiO3/Ab3Cd9 rather than queried SiC.,yes,chemical_formula,current,BLIND-0191
resp_1086a5f2a9af7c8e,What is the main materials-science claim reported in the source titled 'Magnetic domains reconfiguration on the Fe3O4(110) surface across the Verwey transition by Spin-Polarized Low-Energy Electron Microscopy'?,We have studied the (110) surface of Fe$_3$O$_4$ single crystals by means of spin-polarized low-energy electron microscopy (SPLEEM).,,Fe$_3$O$_4$ single crystals,,Fe$_3$O$_4$,,,,,,,,(110) surface,,,,spin-polarized low-energy electron microscopy; SPLEEM,,,,,,yes,natural_claim,current,BLIND-0169
resp_0c7f595945ca99cf,Can the material be called superconducting without reporting Tc or evidence?,"No, the material cannot be called superconducting without reporting Tc or evidence. According to the retrieved context, superconductivity claims should report Tc, measured evidence, or a transition temperature.",,,,,,,,,temperature; superconductivity,temperature; superconductivity,,,,,,,measured; transition temperature,Tc; evidence; measured evidence; transition temperature,,without reporting,,yes,temperature,current,BLIND-0016
