sample_id,response_id,constraint_family,document_status,model,mode,question,answer,ragas_faithfulness,ragas_answer_relevancy,pi_sret_constraint_score,pi_sret_violations
mp_bal_v2_0001_band_gap_high,resp_02a36f9b7bfde6fc,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Nb?,The band gap of Nb is 16.5 eV.,1.0,0.9999999999999994,0.0,band_gap_physical_range
mp_bal_v2_0114_band_gap_high,resp_03e55e96e6c508a1,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Br?,The band gap of Br is 16.5 eV.,1.0,0.9999999999999996,0.0,band_gap_physical_range
mp_bal_v2_0119_band_gap_high,resp_02c39eee6f2fca99,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Si?,The band gap of Si is 16.5 eV.,1.0,0.9999999999999992,0.0,band_gap_physical_range
mp_bal_v2_0191_band_gap_high,resp_04ba7dd8e2e486c2,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of S?,The band gap of S is 16.5 eV.,1.0,0.9999999999999994,0.0,band_gap_physical_range
mp_bal_v2_0381_band_gap_high,resp_01a879b255089ddf,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of La?,The band gap of La is 16.5 eV.,1.0,1.0,0.0,band_gap_physical_range
mp_bal_v2_0473_band_gap_high,resp_056e8b9d266837a7,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of C?,The band gap of C is 16.5 eV.,1.0,0.9999999999999996,0.0,band_gap_physical_range
mp_bal_v2_0611_band_gap_high,resp_0555ad6c14596df2,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Cs?,The band gap of Cs is 16.5 eV.,1.0,0.9999999999999992,0.0,band_gap_physical_range
mp_bal_v2_0635_band_gap_high,resp_00ac7c4ca758b0f2,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Ba?,The band gap of Ba is 16.5 eV.,1.0,0.9999999999999992,0.0,band_gap_physical_range
mp_bal_v2_0642_band_gap_high,resp_00207198d958bc6f,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Eu?,The band gap of Eu is 16.5 eV.,1.0,0.9999999999999994,0.0,band_gap_physical_range
mp_bal_v2_0721_band_gap_high,resp_03b9a672d43ca9b1,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Np?,The band gap of Np is 16.5 eV.,1.0,0.9999999999999998,0.0,band_gap_physical_range
mp_bal_v2_0747_band_gap_high,resp_04ff0b962ef8512b,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Fe?,The band gap of Fe is 16.5 eV.,1.0,0.9999999999999996,0.0,band_gap_physical_range
mp_bal_v2_0826_band_gap_high,resp_04cd8327aaa4c20d,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of P?,The band gap of P is 16.5 eV.,1.0,1.0,0.0,band_gap_physical_range
