blind_id,response_id,constraint_family,error_direction,fp,fn,covered_by_extraction_gold_audit,triggered_rule,error_category,main_cause
BLIND-0196,resp_1680e95ccc445988,superconductivity,false_negative,0,1,True,no PI-SRET trigger,Extraction error,"Gold material/formula was present but not extracted, preventing downstream rule firing."
BLIND-0197,resp_1938e8aca858829a,superconductivity,false_negative,0,1,True,no PI-SRET trigger,Scientific ambiguity,"Gold spans include superconductivity evidence wording, but the human reference judged the claim scientifically invalid because of identity/state context."
BLIND-0194,resp_09b384cf9d284df0,temperature,false_negative,0,1,True,no PI-SRET trigger,Coverage limitation,Gold spans show a cross-material temperature/superconductivity claim; current rules do not model question-target identity strongly enough.
BLIND-0182,resp_1681935da79e390f,band_gap,false_positive,1,0,False,valid_chemical_symbols,Mixed / unresolved,Not covered by the completed extraction-gold audit; root cause remains unresolved.
BLIND-0043,resp_00789662734d3b93,formation_energy,false_positive,1,0,False,elemental_formation_energy_reference_conflict,Mixed / unresolved,Not covered by the completed extraction-gold audit; root cause remains unresolved.
BLIND-0060,resp_00f6303a95a21cc7,formation_energy,false_positive,1,0,False,elemental_formation_energy_reference_conflict,Mixed / unresolved,Not covered by the completed extraction-gold audit; root cause remains unresolved.
BLIND-0061,resp_00fcbc9929e747e6,formation_energy,false_positive,1,0,True,formation_energy_typical_range,Scientific ambiguity,Gold spans confirm the numeric formation-energy claim; disagreement reflects reference-state/range interpretation rather than missed span extraction.
BLIND-0066,resp_0132e6f9514ee0d6,formation_energy,false_positive,1,0,True,elemental_formation_energy_reference_conflict,Scientific ambiguity,Gold spans confirm the numeric formation-energy claim; disagreement reflects reference-state/range interpretation rather than missed span extraction.
BLIND-0081,resp_01af79feb3c5f331,formation_energy,false_positive,1,0,False,elemental_formation_energy_reference_conflict,Mixed / unresolved,Not covered by the completed extraction-gold audit; root cause remains unresolved.
BLIND-0091,resp_0234289563a7991e,formation_energy,false_positive,1,0,False,elemental_formation_energy_reference_conflict,Mixed / unresolved,Not covered by the completed extraction-gold audit; root cause remains unresolved.
BLIND-0100,resp_0267c851ee2e91f2,formation_energy,false_positive,1,0,False,elemental_formation_energy_reference_conflict,Mixed / unresolved,Not covered by the completed extraction-gold audit; root cause remains unresolved.
BLIND-0119,resp_03259d64822a48e7,formation_energy,false_positive,1,0,False,elemental_formation_energy_reference_conflict,Mixed / unresolved,Not covered by the completed extraction-gold audit; root cause remains unresolved.
BLIND-0178,resp_13d6ac3dca729ab9,stability,false_positive,1,0,True,valid_chemical_symbols,Extraction error,Formula/material extractor treated abbreviations or natural-language tokens as formula candidates.
BLIND-0157,resp_0a650c5974f3505e,superconductivity,false_positive,1,0,False,valid_chemical_symbols,Mixed / unresolved,Not covered by the completed extraction-gold audit; root cause remains unresolved.
BLIND-0177,resp_134c9a14b1e3a35b,superconductivity,false_positive,1,0,True,valid_chemical_symbols,Extraction error,Formula/material extractor treated abbreviations or natural-language tokens as formula candidates.
BLIND-0184,resp_1a9dcb5f6223171a,superconductivity,false_positive,1,0,True,valid_chemical_symbols,Extraction error,Formula/material extractor treated abbreviations or natural-language tokens as formula candidates.
BLIND-0198,resp_2a30b6719c7570e4,superconductivity,false_positive,1,0,True,cautious_superconductivity_claim,Evidence-linking failure,Gold qualifier/evidence indicates a local denial or cross-material statement that the rule did not bind correctly.
BLIND-0170,resp_10af303045d52e60,temperature,false_positive,1,0,False,valid_chemical_symbols,Mixed / unresolved,Not covered by the completed extraction-gold audit; root cause remains unresolved.
