盲标编号,sample_id,response_id,base_task_id,constraint_family,document_status,human_final_violation,auto_violation,auto_constraint_violations_optimized,human_final_type,error_direction,attribution_status,conservative_interpretation,in_extraction_gold_audit
BLIND-0196,supp_cautious_superconductivity_claim_v010,resp_1680e95ccc445988,task_a9c9855bdffe2210,superconductivity,outdated_or_incorrect,True,False,,超导性;来源可靠性,false_negative,unresolved_without_span_or_claim_gold,The human reference judged a violation although no rule fired; root cause cannot be separated into missed extraction and uncovered rule logic from response-level labels.,True
BLIND-0197,supp_cautious_superconductivity_claim_v002,resp_1938e8aca858829a,task_854fc7d625ddaec7,superconductivity,current,True,False,,超导性;来源可靠性,false_negative,unresolved_without_span_or_claim_gold,The human reference judged a violation although no rule fired; root cause cannot be separated into missed extraction and uncovered rule logic from response-level labels.,True
BLIND-0194,supp_cautious_superconductivity_claim_c003,resp_09b384cf9d284df0,task_cb6912f155c5a727,temperature,current,True,False,,结构一致性;超导性,false_negative,unresolved_without_span_or_claim_gold,The human reference judged a violation although no rule fired; root cause cannot be separated into missed extraction and uncovered rule logic from response-level labels.,True
BLIND-0182,natural_arxiv_current_0095,resp_1681935da79e390f,task_8d3b645b2826e24c,band_gap,current,False,True,valid_chemical_symbols,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,False
BLIND-0043,mp_bal_v2_0154_formation_current,resp_00789662734d3b93,task_ce6e76b15e9d30b1,formation_energy,current,False,True,elemental_formation_energy_reference_conflict,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,False
BLIND-0060,mp_bal_v2_0620_formation_current,resp_00f6303a95a21cc7,task_2ad547127f803dc4,formation_energy,current,False,True,elemental_formation_energy_reference_conflict,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,False
BLIND-0061,mp_bal_v2_0724_formation_current,resp_00fcbc9929e747e6,task_fd655b1eeffec26d,formation_energy,current,False,True,formation_energy_typical_range,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,True
BLIND-0066,mp_bal_v2_0821_formation_current,resp_0132e6f9514ee0d6,task_69115eb6e526fcbd,formation_energy,current,False,True,elemental_formation_energy_reference_conflict,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,True
BLIND-0081,mp_bal_v2_0653_formation_current,resp_01af79feb3c5f331,task_7db108fbd3f40df6,formation_energy,current,False,True,elemental_formation_energy_reference_conflict,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,False
BLIND-0091,mp_bal_v2_0292_formation_current,resp_0234289563a7991e,task_f200b2872c0abb9c,formation_energy,current,False,True,elemental_formation_energy_reference_conflict,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,False
BLIND-0100,mp_bal_v2_0114_formation_current,resp_0267c851ee2e91f2,task_9656e4f8a978d783,formation_energy,current,False,True,elemental_formation_energy_reference_conflict,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,False
BLIND-0119,mp_bal_v2_0173_formation_current,resp_03259d64822a48e7,task_b7fe803e5ddbd61a,formation_energy,current,False,True,elemental_formation_energy_reference_conflict,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,False
BLIND-0178,natural_arxiv_current_0051,resp_13d6ac3dca729ab9,task_89e0e59b3b679e43,stability,current,False,True,valid_chemical_symbols,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,True
BLIND-0157,natural_arxiv_current_0226,resp_0a650c5974f3505e,task_313c33616f21d141,superconductivity,current,False,True,valid_chemical_symbols,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,False
BLIND-0177,natural_arxiv_current_0217,resp_134c9a14b1e3a35b,task_ee5ac6e94dcc3337,superconductivity,current,False,True,valid_chemical_symbols,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,True
BLIND-0184,natural_arxiv_noisy_0097,resp_1a9dcb5f6223171a,task_fff8eee7c1a2aab5,superconductivity,incomplete,False,True,valid_chemical_symbols,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,True
BLIND-0198,supp_cautious_superconductivity_claim_v007,resp_2a30b6719c7570e4,task_b208396b98d0fe37,superconductivity,incomplete,False,True,cautious_superconductivity_claim,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,True
BLIND-0170,natural_arxiv_current_0108,resp_10af303045d52e60,task_1051e103a3820d87,temperature,current,False,True,valid_chemical_symbols,无违规,false_positive,unresolved_without_span_or_claim_gold,A rule fired although the human reference judged no violation; root cause cannot be separated into extraction and predicate semantics from response-level labels.,False
