sample_id,response_id,base_task_id,source_dataset,dataset_role,model,mode,constraint_family,question,answer,retrieved_context,ground_truth,document_status,judge_record_key,auto_constraint_score,auto_constraint_violations,judge_score,judge_violation,judge_backend,judge_rationale,agreement
mp_bal_v2_0642_band_gap_high,resp_00207198d958bc6f,task_ef7125754e6eb562,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Eu?,The band gap of Eu is 16.5 eV.,A controlled noisy note derived from mp-20071 reports Eu with band gap 16.5 eV.,,outdated_or_incorrect,resp_00207198d958bc6f,0.0,band_gap_physical_range,0.0,True,llm,"Europium (Eu) is a rare-earth metal with a body-centered cubic (bcc) structure and is metallic — it has no band gap (i.e., its band gap is effectively 0 eV). A reported value of 16.5 eV is physically implausible for elemental Eu: such a large band gap is typical of wide-band-gap insulators (e.g., diamond ~5.5 eV, h-BN ~6 eV), not metals. The answer presents the value categorically without caveat or skepticism, violating the constraint that metallic materials cannot have a substantial positive band gap.",1
mp_bal_v2_0682_band_gap_high,resp_003dd29c2ac412a3,task_106c05bb2c2cd496,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Cu?,The band gap of Cu is 16.5 eV.,A controlled noisy note derived from mp-998890 reports Cu with band gap 16.5 eV.,,outdated_or_incorrect,resp_003dd29c2ac412a3,0.0,band_gap_physical_range,0.0,True,llm,Copper (Cu) is a well-known metal with no band gap—it is metallic and exhibits zero (or effectively zero) band gap due to overlapping valence and conduction bands. A reported value of 16.5 eV is physically implausible for elemental Cu and contradicts established electronic structure: metals cannot have a substantial positive band gap. This violates the constraint that 'metallic material with a substantial positive band gap' is invalid.,1
mp_bal_v2_0803_band_gap_negative,resp_00495b48dffd8812,task_317a45e6c952309d,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Si?,The band gap of Si is -0.05 eV.,A controlled noisy note derived from mp-109 reports Si with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,resp_00495b48dffd8812,0.0,non_negative_band_gap,0.0,True,llm,"A negative band gap is unphysical and violates fundamental semiconductor physics; it implies an unstable or incorrectly calculated electronic structure. The retrieved context explicitly labels the value as 'outdated_or_incorrect' and 'controlled noisy', indicating it is not a valid representation of silicon's band gap. Asserting -0.05 eV as the band gap without qualification or correction constitutes a scientific violation.",1
mp_bal_v2_0822_band_gap_negative,resp_006ca06845faf507,task_cb8dbaffcadbb3f6,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Zr?,The band gap of Zr is -0.05 eV.,A controlled noisy note derived from mp-1077723 reports Zr with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,resp_006ca06845faf507,0.0,non_negative_band_gap,0.0,True,llm,"A negative band gap is unphysical for a stable crystalline solid under standard conditions; it typically indicates a metallic state (where the Fermi level lies within a band), not a negative gap. Reporting -0.05 eV as the band gap—without clarifying that this reflects a metallic character or that the value is erroneous—violates the scientific constraint prohibiting negative band gap as a valid value. The retrieved context explicitly labels the note as 'outdated_or_incorrect', yet the answer presents the value uncritically.",1
mp_bal_v2_0784_conductivity_gap_conflict,resp_00723b36839c8d4f,task_e43c7628583e4203,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,Is Pu metallic or insulating based on its band gap?,Pu is an insulator with a band gap of 0.0 eV.,Materials Project reports Pu (mp-867305). Band gap: 0.0 eV. Formation energy per atom: 0.587283381250003 eV/atom. Energy above hull: 0.587283381250003 eV/atom. Stable: False.,,outdated_or_incorrect,resp_00723b36839c8d4f,0.0,conductivity_band_gap_consistency,0.0,True,llm,"A band gap of 0.0 eV indicates metallic (or semimetallic) behavior, not insulating behavior. Insulators require a positive, non-zero band gap (typically > ~1–2 eV, though definitions vary). Stating that a material with 0.0 eV band gap is an insulator contradicts fundamental electronic structure principles. Additionally, the retrieved context explicitly reports 'Stable: False' and a positive formation energy (0.587 eV/atom), which further undermines any claim of stable insulating behavior — but the core violation is the misclassification of 0.0 eV band gap as insulating.",1
mp_bal_v2_0165_conductivity_gap_conflict,resp_007f29ab4a684a79,task_bccd6e81e016a345,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,Is S metallic or insulating based on its band gap?,S is metallic with a band gap of 2.4187 eV.,Materials Project reports S (mp-557488). Band gap: 2.4187 eV. Formation energy per atom: 0.012285684965277 eV/atom. Energy above hull: 0.012285684965277 eV/atom. Stable: False.,,outdated_or_incorrect,resp_007f29ab4a684a79,0.0,conductivity_band_gap_consistency,0.0,True,llm,"A material with a band gap of 2.4187 eV is not metallic; it is insulating (or semiconducting, depending on context). Metals have zero (or effectively zero) band gap. Asserting that a material with a substantial positive band gap (2.4187 eV) is metallic directly contradicts fundamental solid-state physics. This is a clear scientific inconsistency.",1
mp_bal_v2_0642_conductivity_gap_conflict,resp_009ed527f0d3d450,task_ef7125754e6eb562,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,Is Eu metallic or insulating based on its band gap?,Eu is an insulator with a band gap of 0.0 eV.,Materials Project reports Eu (mp-20071). Band gap: 0.0 eV. Formation energy per atom: 0.041439605000000004 eV/atom. Energy above hull: 0.041439605000000004 eV/atom. Stable: False.,,outdated_or_incorrect,resp_009ed527f0d3d450,0.0,conductivity_band_gap_consistency,0.0,True,llm,"A band gap of 0.0 eV indicates metallic (or semimetallic) behavior, not insulating behavior. Insulators require a positive, non-zero band gap. Claiming Eu is an insulator with a 0.0 eV band gap contradicts fundamental electronic structure principles. Additionally, the retrieved context states 'Stable: False' and gives a positive formation energy (0.0414 eV/atom), implying Eu is thermodynamically unstable in that computed structure — but the answer ignores stability concerns and misclassifies the electronic nature.",1
mp_bal_v2_0976_band_gap_high,resp_00aa50db342b8a97,task_612048231ebc82f2,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Mg4Si3?,The band gap of Mg4Si3 is 16.5 eV.,A controlled noisy note derived from mp-1074327 reports Mg4Si3 with band gap 16.5 eV.,,outdated_or_incorrect,resp_00aa50db342b8a97,0.0,band_gap_physical_range,0.0,True,llm,"A band gap of 16.5 eV is implausibly large for a crystalline solid — typical insulators (e.g., diamond, SiO2) have band gaps < 10 eV; values above ~12 eV are extremely rare and usually indicate unphysical or erroneous calculations (e.g., due to severe self-interaction error, incorrect functional, or misassigned phase). Mg4Si3 is a known Zintl-phase-related compound (often non-stoichiometric or metastable), and no experimental or reliable computational report supports a band gap this large. The answer presents the value categorically without caveat, violating the scientific constraint against implausibly large band gaps without qualification.",1
mp_bal_v2_0635_band_gap_high,resp_00ac7c4ca758b0f2,task_9e95735e91e83503,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Ba?,The band gap of Ba is 16.5 eV.,A controlled noisy note derived from mp-122 reports Ba with band gap 16.5 eV.,,outdated_or_incorrect,resp_00ac7c4ca758b0f2,0.0,band_gap_physical_range,0.0,True,llm,"Barium (Ba) is a metallic alkaline earth element with a body-centered cubic structure and exhibits metallic conductivity; it has no band gap (i.e., its band gap is effectively 0 eV). A reported value of 16.5 eV is physically implausible for elemental Ba — such a large band gap is typical of wide-band-gap insulators (e.g., diamond ~5.5 eV, LiF ~14 eV), not a simple metal. The answer uncritically repeats the retrieved value without recognizing the fundamental contradiction: metals cannot have a substantial positive band gap. This violates the scientific constraint that 'metallic material with a substantial positive band gap' is invalid.",1
mp_bal_v2_0991_band_gap_negative,resp_00d2d244b46f9bb0,task_d57d074b2c5924e4,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Mg4Si3?,The band gap of Mg4Si3 is -0.05 eV.,A controlled noisy note derived from mp-1074408 reports Mg4Si3 with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,resp_00d2d244b46f9bb0,0.0,non_negative_band_gap,0.0,True,llm,"A negative band gap is unphysical and violates fundamental semiconductor physics — it implies the material is metallic (i.e., no gap), but reporting it as a negative value is scientifically incorrect. The retrieved context explicitly labels the -0.05 eV value as 'outdated_or_incorrect' and 'controlled noisy', yet the answer presents it uncritically as fact. This constitutes a violation of the scientific constraint prohibiting negative band gap as a valid value.",1
