external_id,answer,model,provider,generated_at_utc,prompt_version,temperature,max_tokens,prompt,prompt_tokens,completion_tokens,total_tokens,sequence_index
mp_external_0001_band_gap,The band gap reported for Rb is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,15,176,1
mp_external_0001_formation_energy,The formation energy reported for Rb is 0.036396663749999 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,31,192,2
mp_external_0001_stability,"According to the record, Rb is not stable.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,11,172,3
mp_external_0002_band_gap,The band gap reported for Cu is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,14,175,4
mp_external_0002_formation_energy,The formation energy reported for Cu is 0.155768219999998 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,30,191,5
mp_external_0002_stability,"No, Cu is not stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,11,172,6
mp_external_0003_band_gap,The band gap reported for Ga is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,14,175,7
mp_external_0003_formation_energy,The formation energy reported for Ga is 0.011309182499999 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,30,191,8
mp_external_0003_stability,"No, Ga is not stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,11,172,9
mp_external_0004_band_gap,The band gap reported for Bi is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",159,14,173,10
mp_external_0004_formation_energy,The formation energy reported for Bi is 0.235286974999993 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",159,30,189,11
mp_external_0004_stability,"No, Bi is not stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",159,11,170,12
mp_external_0005_band_gap,The band gap reported for Cs is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",149,14,163,13
mp_external_0005_formation_energy,The formation energy reported for Cs is 0.0198479075 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",149,25,174,14
