source_id,source_type,title,summary,published,updated,authors,url,query,collector_file
2606.05057v1,arxiv,Bulk and surface excitons in the van der Waals magnet CrSBr: Magneto-optical studies to 55 tesla,"In thin layers of the 2D magnetic semiconductor CrSBr, very recent studies identified two distinct band-edge optical resonances, believed to arise from distinguishable bulk and surface excitons. This behavior reportedly originates from the highly anisotropic nature of CrSBr -- particularly in its antiferromagnetic state -- where excitons are effectively confined within individual monolayers, such that excitons in the two surface layers ""see"" a different local dielectric environment and have a lower resonance energy. To explore this scenario, here we investigate optical absorption properties of few-layer CrSBr in magnetic fields. In addition to the fundamental exciton resonance at ~1.36eV, we observe an absorption resonance ~20 meV lower in energy. Compared to the fundamental transition, this resonance redshifts only half as much in small magnetic fields that induce ferromagnetic order, while in high fields to 55T it exhibits a smaller diamagnetic shift. Both behaviors point to distinguishable populations of bulk and surface excitons in CrSBr.",2026-06-03T16:20:32Z,2026-06-03T16:20:32Z,Junho Choi; Yihyun Moon; Doohyeon Lee; Iva Plutnarova; Zdenek Sofer; Vinod M. Menon; Scott A. Crooker,http://arxiv.org/abs/2606.05057v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
2606.04720v1,arxiv,"Tunable Rashba Splitting in Janus InXPbP (X = S, Se, Te) Monolayers for Enhanced Photocatalytic Water Splitting","Janus two-dimensional (2D) materials exhibiting Rashba spin splitting have recently attracted considerable attention owing to their potential applications in spintronic devices and photocatalytic water splitting. In this work, we investigate, using first-principles calculations, the structural, mechanical, electronic, optical, and photocatalytic properties of Janus InXPbP (X = S, Se, Te) monolayers that exhibit significant Rashba effects. Our results demonstrate that all three monolayers are energetically, dynamically, and mechanically stable, as evidenced by cohesive energy calculations, phonon dispersion analysis, and elastic constants. By varying the chalcogen atom (X = S, Se, Te), the Rashba effect in InXPbP can be effectively tuned. Rashba parameters of 0.16 and 0.20 eVÅ are obtained near the conduction-band minimum (CBM) for InSPbP and InSePbP, respectively, whereas InTePbP exhibits giant Rashba spin splitting near both the CBM and valence-band maximum (VBM), with corresponding Rashba parameters of 0.90 and 0.87 eVÅ. Furthermore, the Janus InXPbP monolayers exhibit suitable band gaps of 1.21, 1.27, and 0.76 eV for InSPbP, InSePbP, and InTePbP, respectively, which are favorable for photocatalytic applications. All three monolayers possess suitable band-edge alignments for overall water splitting, yielding solar-to-hydrogen (STH) conversion efficiencies of 21.67%, 26.03%, and 29.83% for InSPbP, InSePbP, and InTePbP, respectively. Our findings not only enrich the family of Janus materials but also suggest that the Janus InXPbP monolayers are promising candidates for spintronic devices and high-performance photocatalytic water-splitting applications.",2026-06-03T10:58:54Z,2026-06-03T10:58:54Z,Vuong Van Thanh; Nguyen Minh Quan; Nguyen Tuan Hung,http://arxiv.org/abs/2606.04720v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
2606.04598v1,arxiv,Spin-polarization of the electric current in half-metallic Co$_2$MnSi Heusler thin films,"Using propagating spin wave spectroscopy we measure the spin wave Doppler shift in patterned MgO/Co$_2$MnSi/MgO thin films and determine the degree of spin-polarization of the electric current. Our measurements reveal that the current is fully spin-polarized in the devices. This shows that the half-metallic character of the electron band structure translates into a fully spin polarized current flowing across the patterned films. Additionally, we measure a current-induced change of the spin-wave attenuation from which we estimate the non-adiabatic spin-transfer-torque parameter.",2026-06-03T08:36:25Z,2026-06-03T08:36:25Z,José Solano Córdova; Anna Maria Friedel; Quentin Rossi; Jérôme Robert; Yves Henry; Philipp Pirro; Sébastien Petit-Watelot; Stéphane Andrieu; Matthieu Bailleul,http://arxiv.org/abs/2606.04598v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
2606.04587v1,arxiv,Efficient Magnetic Spin-Filtering and Persistent Spin-Currents in Lifshitz-Transitioned Altermagnets: A Route to Open-Orbit Spintronics,"Altermagnets offer a unique venue for spin transport due to their vanishing net magnetization and momentum-dependent spin splitting. We demonstrate that a homotopic Lifshitz transition in two-dimensional altermagnets creates a regime where carriers are confined to geometrically protected, spin-selective open channels. These channels originate from non-contractible Fermi contours and act as metallic analogues of topological edge modes: they are sharply directional, spin-pure, and protected by Fermi-surface winding rather than an energy gap or boundary confinement. We predict three striking magneto-transport signatures of such topologically reconfigured altermagnets: open-orbit focusing with perfect lensing and retroreflection, high-efficiency magnetic spin filtering, and chirality-tunable spin persistent currents in altermagnetic nanotubes. Our results establish altermagnets as a platform where Fermi-surface winding directly engineers spin transport, bypassing the requirements for ferromagnetism or strong spin-orbit coupling. These findings identify Lifshitz-transitioned altermagnets as a route to topology-enabled spintronics that transcends the limitations of conventional edge-state paradigms.",2026-06-03T08:25:02Z,2026-06-03T08:25:02Z,Wun-Hao Kang; Yu-Ting Hsiao; Jozef Genzor; Yaroslav Zhumagulov; Ming-Hao Liu; Denis Kochan,http://arxiv.org/abs/2606.04587v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
2606.04252v1,arxiv,"High-density, high-mobility ultrathin spin-polarized two-dimensional electron gas at the polar/polar LaVO$_3$/KTaO$_3$ interface: Insights from first-principles calculations","The emergence of high-mobility two-dimensional electron gases (2DEGs) at oxide interfaces provides a fertile platform for exploring emergent quantum phenomena and next-generation oxide electronics. Here, using first-principles density functional theory (DFT) calculations, we investigate the microscopic origin of the 2DEG formed at the interface between the band insulator KTaO$_3$ (KTO) and the Mott insulator LaVO$_3$ (LVO). Although both constituents are insulating in bulk, the LVO/KTO heterostructure develops robust metallicity at the interface, consistent with experimental observations. Our calculations show that this metallic state originates from an electronic reconstruction driven by the polar discontinuity across the interface. To avoid the polar catastrophe on both the polar LVO film and the polar KTO substrate, electrons are transferred from the outer surfaces toward the interface, leading to hole accumulation in the surface VO$_2$ layer and electron accumulation in the interfacial TaO$_2$ layer. This charge redistribution stabilizes a highly confined and spin-polarized 2DEG localized at the interface. The electronic states forming the 2DEG are predominantly derived from interfacial Ta $5d_{xy}$ orbitals, confining carrier motion to the interfacial plane. Remarkably, the spin-up parabolic band hosting the 2DEG exhibits an exceptionally small effective mass, substantially lower than that of the prototypical LaAlO$_3$/SrTiO$_3$ interface, indicating the potential for enhanced carrier mobility. Furthermore, the calculated interfacial electron density is nearly an order of magnitude larger than that of LaAlO$_3$/SrTiO$_3$, consistent with experiment. These findings identify the LVO/KTO heterostructure as a promising platform for realizing high-density, high-mobility spin-polarized 2DEGs and for engineering correlated oxide interfaces for quantum electronic applications.",2026-06-02T22:04:37Z,2026-06-02T22:04:37Z,Arpan Das,http://arxiv.org/abs/2606.04252v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
2606.04219v1,arxiv,Breaking the width-scaling limit in high-performance atomically thin 2D nanoribbon transistors,"State-of-the-art transistors have been successfully scaled the gate lengths and channel thicknesses down to 5 nm for high-performance and energy-efficient information processing. However, reducing channel width below 40-50 nm remains a bottleneck, as dangling bonds, edge disorder, and lateral depletion suppress drive current and degrade device performance. Here, we break this width-scaling wall using ultra-scaled two-dimensional semiconductor (2DSC) nanoribbon transistors down to 15 nm. In contrast to the conventional scaling rule of degradation of current density upon width scaling, our atomically-thin monolayer and bilayer molybdenum disulfide nanoribbon transistors exhibit enhancement of on-current density of up to 230% and 170%,respectively, followed by a saturation for the narrowest channels down to 15 nm. The ultra-narrow nanoribbon transistors maintain the highest on/off ratios reported so far for similar device dimensions, with improved mobility and threshold-voltage stability, indicating reduced edge scattering and depletion with a stronger electrostatic control. These findings lead to a breakthrough in width scaling rules using 2DSC nanoribbons with enhanced performance at narrower channel widths, which is promising for the ultimate scaling of transistors.",2026-06-02T21:13:08Z,2026-06-02T21:13:08Z,Sameer Kumar Mallik; Adrian Christiansen; Saroj P. Dash,http://arxiv.org/abs/2606.04219v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
2606.04187v1,arxiv,Emergence of Macroscopic Quantum Order via Translational Zero Modes,"Macroscopic quantum coherence in solids, such as in superfluids, superconductors, and condensates, is generally limited to low temperatures because order forms within a fixed excitation spectrum whose competing states become thermally populated as temperature rises. Here, we show that strong coupling between electronic excitations and a deformable lattice enables a different route. Above a critical density, this coupling nucleates self generated confining potentials that trap the very excitations generating them. Unlike rigid external traps, these potentials can translate through the host lattice without changing their internal structure, defining a translational zero mode. Coupling to this zero mode provides a shared dynamical coordinate that lowers and isolates a single collective many body configuration, opening a density dependent gap that suppresses thermal occupation of competing states and supports off diagonal long range order at elevated temperatures. As a concrete realization, we identify high-temperature superfluorescence in lead halide perovskites as the radiative instability of this zero mode dressed ordered excitonic state. More broadly, this establishes a general route to macroscopic quantum order: not cooling within a fixed spectrum, nor pairing instabilities, but a self generated mobile confining structure whose translational zero mode reconstructs the many-body spectrum to protect coherence.",2026-06-02T20:12:57Z,2026-06-02T20:12:57Z,Kenan Gundogdu,http://arxiv.org/abs/2606.04187v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
2606.03959v1,arxiv,Topological Weyl Phase of an Ideal Spin-Gapless Semiconductor KCrSe,"The coexistence of topological and spin-polarized electronic states within a single material platform provides an attractive route toward emergent quantum phenomena and spintronic functionalities. However, materials simultaneously exhibiting spin-gapless semiconducting (SGS) behavior and Weyl semimetallicity remain exceedingly rare. Here, using first-principles calculations, we identify the half-Heusler compound KCrSe as an ideal spin-gapless Weyl semimetal. Transport calculations reveal a weak temperature dependence of the longitudinal conductivity and relatively small Seebeck coefficients, providing further evidence of its SGS nature. KCrSe hosts a single pair of Weyl nodes-the minimum number permitted in a Weyl semimetal-located in close proximity to the Fermi level (E$_\text{F}$), resulting in exceptionally clean bulk and surface electronic spectra. The nontrivial Berry curvature associated with these Weyl nodes gives rise to sizable anomalous transport responses, including an anomalous Hall conductivity of $σ_{xy}^{A}\sim 90.76~\mathrm{S\,cm^{-1}}$ and an anomalous Nernst conductivity of $α_{xy}^{A}\sim 0.15~\mathrm{A\,m^{-1}K^{-1}}$ at E$_\text{F}$, with substantially enhanced values at lower energies. The combination of an ideal Weyl topology, fully spin-polarized low-energy states, and finite anomalous transport establishes KCrSe as a promising platform for designing high-efficiency topological spintronic devices.",2026-06-02T17:49:02Z,2026-06-02T17:49:02Z,Subhajit Mandal; Bishal Das; Himanshu Sharma; Satoru Hayami; Aftab Alam,http://arxiv.org/abs/2606.03959v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
2606.03563v1,arxiv,Reversible Superdense Ordering of Tetragonal Lithium in a Layered Material,"Understanding lithium (Li) ordering and dynamics is foundational in energy storage. X-ray based experimental methods do not simultaneously provide atomic structure information together with chemical composition and local bonding information for lithium in solids. Here we employ scanning transmission electron microscopy (STEM) and combine imaging, spectroscopy, and diffraction within a single experiment, to observe, in situ, an all-solid-state electrochemical cell. By integrating multimodal STEM with other complementary techniques, we report a complete mapping of lithium intercalation in a layered system, LaTe3. We identify three ordered phases of LixLaTe3 with x ranging from 1/3 to 3 with in-plane strain of up to 5%. At a very high lithium concentration of Li3LaTe3, we discover an unexpected three-layer, superdense lithium phase with tetragonal symmetry occupying the van der Waals gap. This represents a new Li phase that is reversible. Our multimodal approach thus enables complete tracking of lithium ordering and dynamics, important for next-generation energy storage applications.",2026-06-02T12:29:26Z,2026-06-02T12:29:26Z,Natalie L. Williams; Stephen D. Funni; Sihun Lee; Drake Niedzielski; Mingjia Fang; Josh Leeman; Ratnadwip Singha; Saif Siddique; Tyler Hendee; Shiyu Xu; Jeffrey Kaaret; Giovanni Sartorello; Nicole A. Benedek; Leslie M. Schoop; Lynden A. Archer; Tomás A. Arias; Judy J. Cha,http://arxiv.org/abs/2606.03563v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
2606.03325v1,arxiv,Role of Characteristic Length Scale in Interface Graphitization-Induced Wear Resistance of Diamond and Amorphous Carbon,"The evolution of interfacial atomic structures critically influences the friction and wear behavior of carbon-based materials. However, how the characteristic length scale of friction-induced sp\textsuperscript{2} reconstruction governs macroscopic wear remains poorly understood, particularly for diamond and amorphous carbon where the interfacial graphitization modes differ fundamentally. In this work, we develop a machine learning potential for these carbon systems and investigate the structural evolution at interfaces in both diamond/diamond and amorphous/amorphous carbon systems using molecular dynamics simulations. Our results reveal distinct atomic-scale characteristics of graphitization at the two interfaces. Diamond interfaces develop a laterally continuous sp\textsuperscript{2} reconstruction layer with a characteristic length of 30--45~Å, while amorphous carbon interfaces form only fully isolated sp\textsuperscript{2} patches of 8--12~Å. This disparity in characteristic length scale determines the density of weakly bonded interfacial atoms left outside the reconstruction layer, thereby directly dictating the macroscopic wear rate. Based on these insights, we propose a strategy to regulate friction-induced graphitization in diamond coatings by protecting specific crystallographic orientations, such as the (111) close-packed planes. This work bridges the gap between atomic-scale interfacial structure and macroscopic tribological performance, offering mechanistic guidelines for the rational design of wear-resistant carbon-based coatings.",2026-06-02T08:33:48Z,2026-06-02T08:33:48Z,WenLiang Shi; YanYu Zhang; WenZheng Liao; Kai Xu; HongYu Wu; ZhiCheng Zhong; KeKe Chang,http://arxiv.org/abs/2606.03325v1,cat:cond-mat.mtrl-sci AND (band gap OR semiconductor OR insulator),arxiv_materials_bandgap_v2.csv
