external_id,material_id,formula_pretty,constraint_family,question,retrieved_context,source_type,source_url
mp_external_0001_band_gap,mp-974620,Rb,band_gap,What band gap is reported for Rb?,"Materials Project record mp-974620 reports Rb with band gap 0.0 eV, formation energy 0.036396663749999 eV/atom, energy above hull 0.036396663749999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-974620",materials_project,https://materialsproject.org/materials/mp-974620
mp_external_0001_formation_energy,mp-974620,Rb,formation_energy,What formation energy is reported for Rb?,"Materials Project record mp-974620 reports Rb with band gap 0.0 eV, formation energy 0.036396663749999 eV/atom, energy above hull 0.036396663749999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-974620",materials_project,https://materialsproject.org/materials/mp-974620
mp_external_0001_stability,mp-974620,Rb,stability,Is Rb stable according to this record?,"Materials Project record mp-974620 reports Rb with band gap 0.0 eV, formation energy 0.036396663749999 eV/atom, energy above hull 0.036396663749999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-974620",materials_project,https://materialsproject.org/materials/mp-974620
mp_external_0002_band_gap,mp-1059259,Cu,band_gap,What band gap is reported for Cu?,"Materials Project record mp-1059259 reports Cu with band gap 0.0 eV, formation energy 0.155768219999998 eV/atom, energy above hull 0.155768219999998 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1059259",materials_project,https://materialsproject.org/materials/mp-1059259
mp_external_0002_formation_energy,mp-1059259,Cu,formation_energy,What formation energy is reported for Cu?,"Materials Project record mp-1059259 reports Cu with band gap 0.0 eV, formation energy 0.155768219999998 eV/atom, energy above hull 0.155768219999998 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1059259",materials_project,https://materialsproject.org/materials/mp-1059259
mp_external_0002_stability,mp-1059259,Cu,stability,Is Cu stable according to this record?,"Materials Project record mp-1059259 reports Cu with band gap 0.0 eV, formation energy 0.155768219999998 eV/atom, energy above hull 0.155768219999998 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1059259",materials_project,https://materialsproject.org/materials/mp-1059259
mp_external_0003_band_gap,mp-1067880,Ga,band_gap,What band gap is reported for Ga?,"Materials Project record mp-1067880 reports Ga with band gap 0.0 eV, formation energy 0.011309182499999 eV/atom, energy above hull 0.011309182499999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1067880",materials_project,https://materialsproject.org/materials/mp-1067880
mp_external_0003_formation_energy,mp-1067880,Ga,formation_energy,What formation energy is reported for Ga?,"Materials Project record mp-1067880 reports Ga with band gap 0.0 eV, formation energy 0.011309182499999 eV/atom, energy above hull 0.011309182499999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1067880",materials_project,https://materialsproject.org/materials/mp-1067880
mp_external_0003_stability,mp-1067880,Ga,stability,Is Ga stable according to this record?,"Materials Project record mp-1067880 reports Ga with band gap 0.0 eV, formation energy 0.011309182499999 eV/atom, energy above hull 0.011309182499999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1067880",materials_project,https://materialsproject.org/materials/mp-1067880
mp_external_0004_band_gap,mp-568610,Bi,band_gap,What band gap is reported for Bi?,"Materials Project record mp-568610 reports Bi with band gap 0.0 eV, formation energy 0.235286974999993 eV/atom, energy above hull 0.235286974999993 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-568610",materials_project,https://materialsproject.org/materials/mp-568610
mp_external_0004_formation_energy,mp-568610,Bi,formation_energy,What formation energy is reported for Bi?,"Materials Project record mp-568610 reports Bi with band gap 0.0 eV, formation energy 0.235286974999993 eV/atom, energy above hull 0.235286974999993 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-568610",materials_project,https://materialsproject.org/materials/mp-568610
mp_external_0004_stability,mp-568610,Bi,stability,Is Bi stable according to this record?,"Materials Project record mp-568610 reports Bi with band gap 0.0 eV, formation energy 0.235286974999993 eV/atom, energy above hull 0.235286974999993 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-568610",materials_project,https://materialsproject.org/materials/mp-568610
mp_external_0005_band_gap,mp-639727,Cs,band_gap,What band gap is reported for Cs?,"Materials Project record mp-639727 reports Cs with band gap 0.0 eV, formation energy 0.0198479075 eV/atom, energy above hull 0.0198479075 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-639727",materials_project,https://materialsproject.org/materials/mp-639727
mp_external_0005_formation_energy,mp-639727,Cs,formation_energy,What formation energy is reported for Cs?,"Materials Project record mp-639727 reports Cs with band gap 0.0 eV, formation energy 0.0198479075 eV/atom, energy above hull 0.0198479075 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-639727",materials_project,https://materialsproject.org/materials/mp-639727
mp_external_0005_stability,mp-639727,Cs,stability,Is Cs stable according to this record?,"Materials Project record mp-639727 reports Cs with band gap 0.0 eV, formation energy 0.0198479075 eV/atom, energy above hull 0.0198479075 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-639727",materials_project,https://materialsproject.org/materials/mp-639727
