sample_id,response_id,base_task_id,source_dataset,dataset_role,model,mode,constraint_family,question,answer,retrieved_context,ground_truth,document_status,user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_backend,ragas_llm_model,pi_sret_constraint_score,pi_sret_violations
mp_bal_v2_0701_formation_noisy_high,resp_000e7d4b6718e189,task_aaaf9b7ac62eb833,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of U?,The formation energy of U is 5.5 eV/atom.,A controlled noisy note derived from mp-1200324 reports formation energy 5.5 eV/atom for U. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the formation energy of U?,['A controlled noisy note derived from mp-1200324 reports formation energy 5.5 eV/atom for U. This note is marked outdated_or_incorrect for stress testing.'],The formation energy of U is 5.5 eV/atom.,A controlled noisy note derived from mp-1200324 reports formation energy 5.5 eV/atom for U. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999992,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0642_band_gap_high,resp_00207198d958bc6f,task_ef7125754e6eb562,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Eu?,The band gap of Eu is 16.5 eV.,A controlled noisy note derived from mp-20071 reports Eu with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of Eu?,['A controlled noisy note derived from mp-20071 reports Eu with band gap 16.5 eV.'],The band gap of Eu is 16.5 eV.,A controlled noisy note derived from mp-20071 reports Eu with band gap 16.5 eV.,1.0,0.9999999999999994,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0154_formation_current,resp_00789662734d3b93,task_ce6e76b15e9d30b1,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Si?,The formation energy of Si is 0.11663319999999901 eV/atom.,Materials Project reports Si (mp-999200). Band gap: 0.439799999999999 eV. Formation energy per atom: 0.11663319999999901 eV/atom. Energy above hull: 0.11663319999999901 eV/atom. Stable: False.,,current,What is the formation energy of Si?,['Materials Project reports Si (mp-999200). Band gap: 0.439799999999999 eV. Formation energy per atom: 0.11663319999999901 eV/atom. Energy above hull: 0.11663319999999901 eV/atom. Stable: False.'],The formation energy of Si is 0.11663319999999901 eV/atom.,Materials Project reports Si (mp-999200). Band gap: 0.439799999999999 eV. Formation energy per atom: 0.11663319999999901 eV/atom. Energy above hull: 0.11663319999999901 eV/atom. Stable: False.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0976_band_gap_high,resp_00aa50db342b8a97,task_612048231ebc82f2,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Mg4Si3?,The band gap of Mg4Si3 is 16.5 eV.,A controlled noisy note derived from mp-1074327 reports Mg4Si3 with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of Mg4Si3?,['A controlled noisy note derived from mp-1074327 reports Mg4Si3 with band gap 16.5 eV.'],The band gap of Mg4Si3 is 16.5 eV.,A controlled noisy note derived from mp-1074327 reports Mg4Si3 with band gap 16.5 eV.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0635_band_gap_high,resp_00ac7c4ca758b0f2,task_9e95735e91e83503,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Ba?,The band gap of Ba is 16.5 eV.,A controlled noisy note derived from mp-122 reports Ba with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of Ba?,['A controlled noisy note derived from mp-122 reports Ba with band gap 16.5 eV.'],The band gap of Ba is 16.5 eV.,A controlled noisy note derived from mp-122 reports Ba with band gap 16.5 eV.,1.0,0.9999999999999992,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0991_band_gap_negative,resp_00d2d244b46f9bb0,task_d57d074b2c5924e4,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Mg4Si3?,The band gap of Mg4Si3 is -0.05 eV.,A controlled noisy note derived from mp-1074408 reports Mg4Si3 with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the band gap of Mg4Si3?,['A controlled noisy note derived from mp-1074408 reports Mg4Si3 with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.'],The band gap of Mg4Si3 is -0.05 eV.,A controlled noisy note derived from mp-1074408 reports Mg4Si3 with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,non_negative_band_gap
mp_bal_v2_0620_formation_current,resp_00f6303a95a21cc7,task_2ad547127f803dc4,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Mn?,The formation energy of Mn is 0.36972538551724204 eV/atom.,Materials Project reports Mn (mp-1055908). Band gap: 0.0 eV. Formation energy per atom: 0.36972538551724204 eV/atom. Energy above hull: 0.36972538551724204 eV/atom. Stable: False.,,current,What is the formation energy of Mn?,['Materials Project reports Mn (mp-1055908). Band gap: 0.0 eV. Formation energy per atom: 0.36972538551724204 eV/atom. Energy above hull: 0.36972538551724204 eV/atom. Stable: False.'],The formation energy of Mn is 0.36972538551724204 eV/atom.,Materials Project reports Mn (mp-1055908). Band gap: 0.0 eV. Formation energy per atom: 0.36972538551724204 eV/atom. Energy above hull: 0.36972538551724204 eV/atom. Stable: False.,1.0,0.9999999999999994,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0724_formation_current,resp_00fcbc9929e747e6,task_fd655b1eeffec26d,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of H2?,The formation energy of H2 is 1.188433449375 eV/atom.,Materials Project reports H2 (mp-1181265). Band gap: 1.5177999999999991 eV. Formation energy per atom: 1.188433449375 eV/atom. Energy above hull: 1.188433449375 eV/atom. Stable: False.,,current,What is the formation energy of H2?,['Materials Project reports H2 (mp-1181265). Band gap: 1.5177999999999991 eV. Formation energy per atom: 1.188433449375 eV/atom. Energy above hull: 1.188433449375 eV/atom. Stable: False.'],The formation energy of H2 is 1.188433449375 eV/atom.,Materials Project reports H2 (mp-1181265). Band gap: 1.5177999999999991 eV. Formation energy per atom: 1.188433449375 eV/atom. Energy above hull: 1.188433449375 eV/atom. Stable: False.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,formation_energy_typical_range
mp_bal_v2_0821_formation_current,resp_0132e6f9514ee0d6,task_69115eb6e526fcbd,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Br?,The formation energy of Br is 0.08391820500000001 eV/atom.,Materials Project reports Br (mp-998864). Band gap: 0.0 eV. Formation energy per atom: 0.08391820500000001 eV/atom. Energy above hull: 0.08391820500000001 eV/atom. Stable: False.,,current,What is the formation energy of Br?,['Materials Project reports Br (mp-998864). Band gap: 0.0 eV. Formation energy per atom: 0.08391820500000001 eV/atom. Energy above hull: 0.08391820500000001 eV/atom. Stable: False.'],The formation energy of Br is 0.08391820500000001 eV/atom.,Materials Project reports Br (mp-998864). Band gap: 0.0 eV. Formation energy per atom: 0.08391820500000001 eV/atom. Energy above hull: 0.08391820500000001 eV/atom. Stable: False.,1.0,0.9999999999999994,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0257_formation_noisy_high,resp_014526fa7d170ed6,task_86374c90813433e1,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Nb?,The formation energy of Nb is 5.5 eV/atom.,A controlled noisy note derived from mp-2739273 reports formation energy 5.5 eV/atom for Nb. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the formation energy of Nb?,['A controlled noisy note derived from mp-2739273 reports formation energy 5.5 eV/atom for Nb. This note is marked outdated_or_incorrect for stress testing.'],The formation energy of Nb is 5.5 eV/atom.,A controlled noisy note derived from mp-2739273 reports formation energy 5.5 eV/atom for Nb. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999992,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0381_band_gap_high,resp_01a879b255089ddf,task_a964c944ab381e10,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of La?,The band gap of La is 16.5 eV.,A controlled noisy note derived from mp-26 reports La with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of La?,['A controlled noisy note derived from mp-26 reports La with band gap 16.5 eV.'],The band gap of La is 16.5 eV.,A controlled noisy note derived from mp-26 reports La with band gap 16.5 eV.,1.0,1.0,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0653_formation_current,resp_01af79feb3c5f331,task_7db108fbd3f40df6,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Co?,The formation energy of Co is 0.08956573499999801 eV/atom.,Materials Project reports Co (mp-2647057). Band gap: 0.0 eV. Formation energy per atom: 0.08956573499999801 eV/atom. Energy above hull: 0.08956573499999801 eV/atom. Stable: False.,,current,What is the formation energy of Co?,['Materials Project reports Co (mp-2647057). Band gap: 0.0 eV. Formation energy per atom: 0.08956573499999801 eV/atom. Energy above hull: 0.08956573499999801 eV/atom. Stable: False.'],The formation energy of Co is 0.08956573499999801 eV/atom.,Materials Project reports Co (mp-2647057). Band gap: 0.0 eV. Formation energy per atom: 0.08956573499999801 eV/atom. Energy above hull: 0.08956573499999801 eV/atom. Stable: False.,1.0,1.0,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0850_formation_noisy_high,resp_0207216ae9d47812,task_f289c01fa9134ac3,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Mg2Si3?,The formation energy of Mg2Si3 is 5.5 eV/atom.,A controlled noisy note derived from mp-1073089 reports formation energy 5.5 eV/atom for Mg2Si3. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the formation energy of Mg2Si3?,['A controlled noisy note derived from mp-1073089 reports formation energy 5.5 eV/atom for Mg2Si3. This note is marked outdated_or_incorrect for stress testing.'],The formation energy of Mg2Si3 is 5.5 eV/atom.,A controlled noisy note derived from mp-1073089 reports formation energy 5.5 eV/atom for Mg2Si3. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999992,,,ragas_qwen_plus,qwen-plus,0.0,formation_energy_typical_range
mp_bal_v2_0801_formation_noisy_high,resp_02112d0db3a48856,task_08ed628fbf950e4b,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of C?,The formation energy of C is 5.5 eV/atom.,A controlled noisy note derived from mp-568363 reports formation energy 5.5 eV/atom for C. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the formation energy of C?,['A controlled noisy note derived from mp-568363 reports formation energy 5.5 eV/atom for C. This note is marked outdated_or_incorrect for stress testing.'],The formation energy of C is 5.5 eV/atom.,A controlled noisy note derived from mp-568363 reports formation energy 5.5 eV/atom for C. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999992,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0292_formation_current,resp_0234289563a7991e,task_f200b2872c0abb9c,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Co?,The formation energy of Co is 0.11766239086956701 eV/atom.,Materials Project reports Co (mp-669382). Band gap: 0.0 eV. Formation energy per atom: 0.11766239086956701 eV/atom. Energy above hull: 0.11766239086956701 eV/atom. Stable: False.,,current,What is the formation energy of Co?,['Materials Project reports Co (mp-669382). Band gap: 0.0 eV. Formation energy per atom: 0.11766239086956701 eV/atom. Energy above hull: 0.11766239086956701 eV/atom. Stable: False.'],The formation energy of Co is 0.11766239086956701 eV/atom.,Materials Project reports Co (mp-669382). Band gap: 0.0 eV. Formation energy per atom: 0.11766239086956701 eV/atom. Energy above hull: 0.11766239086956701 eV/atom. Stable: False.,1.0,1.0,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0114_formation_current,resp_0267c851ee2e91f2,task_9656e4f8a978d783,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Br?,The formation energy of Br is 0.20109457500000003 eV/atom.,Materials Project reports Br (mp-1010048). Band gap: 0.0 eV. Formation energy per atom: 0.20109457500000003 eV/atom. Energy above hull: 0.20109457500000003 eV/atom. Stable: False.,,current,What is the formation energy of Br?,['Materials Project reports Br (mp-1010048). Band gap: 0.0 eV. Formation energy per atom: 0.20109457500000003 eV/atom. Energy above hull: 0.20109457500000003 eV/atom. Stable: False.'],The formation energy of Br is 0.20109457500000003 eV/atom.,Materials Project reports Br (mp-1010048). Band gap: 0.0 eV. Formation energy per atom: 0.20109457500000003 eV/atom. Energy above hull: 0.20109457500000003 eV/atom. Stable: False.,1.0,0.9999999999999994,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0331_formation_noisy_high,resp_026de1a102e933be,task_0424f286c97e3ba3,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of N2?,The formation energy of N2 is 5.5 eV/atom.,A controlled noisy note derived from mp-1061298 reports formation energy 5.5 eV/atom for N2. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the formation energy of N2?,['A controlled noisy note derived from mp-1061298 reports formation energy 5.5 eV/atom for N2. This note is marked outdated_or_incorrect for stress testing.'],The formation energy of N2 is 5.5 eV/atom.,A controlled noisy note derived from mp-1061298 reports formation energy 5.5 eV/atom for N2. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,formation_energy_typical_range
