record_id,blind_id,constraint_family,document_status_raw,question,answer,predicted_material,predicted_formula,predicted_value,predicted_unit,predicted_property,predicted_phase,predicted_method,predicted_evidence,predicted_qualifier,gold_material,gold_formula,gold_value,gold_unit,gold_property,gold_phase,gold_method,gold_evidence,gold_qualifier,annotation_complete,annotator_note
resp_023d7426b05c1378,BLIND-0092,formation_energy,current,What is the formation energy of Pr?,The formation energy of Pr is 0.008044545 eV/atom.,,,0.008044545,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_04738b10695dd165,BLIND-0136,stability,incomplete,Is Al thermodynamically stable?,Al is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_0bac44c6afefeec8,BLIND-0159,temperature,incomplete,What is the main materials-science claim reported in the source titled 'Kondo singlet from ferromagnetic coupling: an analog of Anderson-Morel superconductivity in the magnetic channel'?,Fourier's law dictates that heat flow is usually parallel to the applied temperature gradient.,,,,,temperature,,,,,,,,,,,,,,,
resp_05c9d45c8c03a92f,BLIND-0193,pressure,incomplete,Report the synthesis pressure of La2CuO4.,"The retrieved context gives a pressure of −2.3 GPa, but that value applies to SnO2, not La2CuO4; the synthesis pressure for La2CuO4 remains unreported.",SnO2; La2CuO4,SnO2; La2CuO4,2.3,GPa,pressure,,,,,,,,,,,,,,,
resp_049e515c19216bbf,BLIND-0028,pressure,current,Is a pressure of -2 GPa physically valid in a standard pressure report?,A pressure of -2 GPa is not physically valid in a standard pressure report unless a stress sign convention is explicitly defined.,,,-2,GPa,pressure,,,,,,,,,,,,,,,
resp_143be3cf142f823b,BLIND-0179,natural_claim,incomplete,"What is the main materials-science claim reported in the source titled 'Uncovering multi-channel magnetic hopfion annihilation via a single-node, billion-spin-scale atomistic framework'?","A strongly interacting chain of Majorana fermions realizes the supersymmetric tricritical Ising phase, with supersymmetry (SUSY) extending into a symmetry-broken ordered phase adjacent to the tricritical point.",,,,,,,,,,,,,,,,,,,,
resp_010e16a94a8d3858,BLIND-0063,formation_energy,current,Is Li thermodynamically stable?,Li has energy above hull 0.008819463333333001 eV/atom and formation energy 0.008819463333333001 eV/atom; Materials Project stable is False.,,,0.008819463333333001,eV/atom,formation_energy; stability,,,energy above hull; formation energy,,,,,,,,,,,,
resp_00fcbc9929e747e6,BLIND-0061,formation_energy,current,What is the formation energy of H2?,The formation energy of H2 is 1.188433449375 eV/atom.,,,1.188433449375,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_0cf5a20236608e6a,BLIND-0031,chemical_formula,outdated_or_incorrect,Is Xx2O3 a valid materials formula?,"No, Xx2O3 is not a valid materials formula because it does not use recognized element symbols.",Xx2O3,Xx2O3,,,,,,,,,,,,,,,,,,
resp_0263d8867645eb6a,BLIND-0099,band_gap,current,What is the band gap of V?,The band gap of V is 0.0 eV according to Materials Project.,,,0.0,eV,band_gap,,,,,,,,,,,,,,,
resp_0363b0158b7b23b9,BLIND-0191,chemical_formula,current,Give the formula for SiC.,The reported formula for SrTiO3 is Ab3Cd9.,SrTiO3; Ab3Cd9,SrTiO3; Ab3Cd9,,,,,,,,,,,,,,,,,,
resp_1086a5f2a9af7c8e,BLIND-0169,natural_claim,current,What is the main materials-science claim reported in the source titled 'Magnetic domains reconfiguration on the Fe3O4(110) surface across the Verwey transition by Spin-Polarized Low-Energy Electron Microscopy'?,We have studied the (110) surface of Fe$_3$O$_4$ single crystals by means of spin-polarized low-energy electron microscopy (SPLEEM).,,,,,,,,,,,,,,,,,,,,
resp_0c7f595945ca99cf,BLIND-0016,temperature,current,Can the material be called superconducting without reporting Tc or evidence?,"No, the material cannot be called superconducting without reporting Tc or evidence. According to the retrieved context, superconductivity claims should report Tc, measured evidence, or a transition temperature.",,,,,temperature; superconductivity,,,measured; transition temperature,,,,,,,,,,,,
