盲标编号,sample_id,constraint_family,document_status,A_label,B_label,auto_violation,qwen_plus,qwen_max,third_expert_verdict,third_expert_violation,third_expert_severity,third_expert_sides_with,third_expert_rationale
BLIND-0114,mp_bal_v2_0133_conductivity_gap_conflict,band_gap,outdated_or_incorrect,是,否,True,True,True,是,电导率-带隙一致性,主要错误,A,"问题明确以""根据带隙判断""为框架，所给带隙=0.0 eV。回答同时断言""N2是绝缘体，带隙为0.0 eV""，将0 eV带隙与绝缘体标签并列，构成内部物理矛盾（0 eV带隙按定义对应金属，非绝缘体）。该不一致与N2真实物性无关，属于电导率-带隙一致性违规。"
BLIND-0129,mp_bal_v2_0810_conductivity_gap_conflict,band_gap,outdated_or_incorrect,是,否,True,True,True,是,电导率-带隙一致性,主要错误,A,"与BLIND-0114同构：所给带隙=0.0 eV，回答却称""O2是绝缘体，带隙为0.0 eV""，0 eV带隙与绝缘体标签自相矛盾，构成电导率-带隙一致性违规。"
BLIND-0148,natural_arxiv_current_0014,natural_claim,current,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0151,natural_arxiv_noisy_0009,natural_claim,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0152,natural_arxiv_current_0107,natural_claim,current,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0153,natural_arxiv_current_0194,superconductivity,current,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0154,natural_arxiv_current_0075,natural_claim,current,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0156,natural_arxiv_noisy_0023,superconductivity,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0157,natural_arxiv_current_0226,superconductivity,current,是,否,True,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0159,natural_arxiv_noisy_0234,temperature,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0160,natural_arxiv_noisy_0076,stability,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0161,natural_arxiv_current_0197,superconductivity,current,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0163,natural_arxiv_current_0042,natural_claim,current,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0165,natural_arxiv_noisy_0241,band_gap,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0166,natural_arxiv_current_0031,natural_claim,current,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0167,natural_arxiv_noisy_0207,formation_energy,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0168,natural_arxiv_noisy_0238,natural_claim,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0170,natural_arxiv_current_0108,temperature,current,是,否,True,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0171,natural_arxiv_noisy_0092,superconductivity,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0172,natural_arxiv_noisy_0049,pressure,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0176,natural_arxiv_noisy_0177,temperature,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0182,natural_arxiv_current_0095,band_gap,current,是,否,True,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0183,natural_arxiv_current_0064,temperature,current,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
BLIND-0185,natural_arxiv_noisy_0089,superconductivity,incomplete,是,否,False,False,False,否,无违规,无违规,B,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。
