sample_id,domain,source,question,retrieved_context,answer,document_status,expected_constraints,faithfulness_score,faithfulness_method,faithfulness_notes,generation_tokens,judge_tokens,generation_mode
rag_mpc_0001_current_gap,materials,qwen_output,What is the band gap of C?,"[rank=1 score=24.9072 doc_id=h1ctx_0002_mpc_0001_incorrect_gap] A noisy retrieved note reports C (mp-1197903) with band gap -0.07970000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.9072 doc_id=h1ctx_0005_mpc_0002_incorrect_gap] A noisy retrieved note reports C (mp-1244964) with band gap -0.0724 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.9072 doc_id=h1ctx_0011_mpc_0004_incorrect_gap] A noisy retrieved note reports C (mp-1244913) with band gap -0.10600000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect.",outdated_or_incorrect,,1.0,qwen_judge,"The answer correctly states that the retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect. This is directly supported by the context.",362,465,safety_aware
rag_mpc_0001_incorrect_gap,materials,qwen_output,What is the band gap of C?,"[rank=1 score=24.9072 doc_id=h1ctx_0002_mpc_0001_incorrect_gap] A noisy retrieved note reports C (mp-1197903) with band gap -0.07970000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.9072 doc_id=h1ctx_0005_mpc_0002_incorrect_gap] A noisy retrieved note reports C (mp-1244964) with band gap -0.0724 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.9072 doc_id=h1ctx_0011_mpc_0004_incorrect_gap] A noisy retrieved note reports C (mp-1244913) with band gap -0.10600000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect.",outdated_or_incorrect,,1.0,qwen_judge,"The answer correctly states that the retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect. This is directly supported by the context.",362,465,safety_aware
rag_mpc_0001_incomplete_stability,materials,qwen_output,Is C thermodynamically stable?,"[rank=1 score=24.2768 doc_id=h1ctx_0002_mpc_0001_incorrect_gap] A noisy retrieved note reports C (mp-1197903) with band gap -0.07970000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.2768 doc_id=h1ctx_0005_mpc_0002_incorrect_gap] A noisy retrieved note reports C (mp-1244964) with band gap -0.0724 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.2768 doc_id=h1ctx_0011_mpc_0004_incorrect_gap] A noisy retrieved note reports C (mp-1244913) with band gap -0.10600000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The retrieved context does not provide sufficient information to determine if C is thermodynamically stable. The notes available are marked as outdated or incorrect and focus on band gap, which is not directly indicative of thermodynamic stability.",outdated_or_incorrect,,0.5,qwen_judge,"The answer correctly states that the retrieved context does not provide sufficient information to determine if C is thermodynamically stable. The context focuses on band gap, which is not directly related to thermodynamic stability. However, the answer could have more explicitly noted that the provided data are marked as outdated or incorrect, which further weakens any potential claims about C's properties.",377,512,safety_aware
rag_mpc_0002_current_gap,materials,qwen_output,What is the band gap of C?,"[rank=1 score=24.9072 doc_id=h1ctx_0002_mpc_0001_incorrect_gap] A noisy retrieved note reports C (mp-1197903) with band gap -0.07970000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.9072 doc_id=h1ctx_0005_mpc_0002_incorrect_gap] A noisy retrieved note reports C (mp-1244964) with band gap -0.0724 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.9072 doc_id=h1ctx_0011_mpc_0004_incorrect_gap] A noisy retrieved note reports C (mp-1244913) with band gap -0.10600000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect.",outdated_or_incorrect,,1.0,qwen_judge,"The answer correctly states that the retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect. This is directly supported by the context.",362,465,safety_aware
rag_mpc_0002_incorrect_gap,materials,qwen_output,What is the band gap of C?,"[rank=1 score=24.9072 doc_id=h1ctx_0002_mpc_0001_incorrect_gap] A noisy retrieved note reports C (mp-1197903) with band gap -0.07970000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.9072 doc_id=h1ctx_0005_mpc_0002_incorrect_gap] A noisy retrieved note reports C (mp-1244964) with band gap -0.0724 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.9072 doc_id=h1ctx_0011_mpc_0004_incorrect_gap] A noisy retrieved note reports C (mp-1244913) with band gap -0.10600000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect.",outdated_or_incorrect,,1.0,qwen_judge,"The answer correctly states that the retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect. This is directly supported by the context.",362,465,safety_aware
rag_mpc_0002_incomplete_stability,materials,qwen_output,Is C thermodynamically stable?,"[rank=1 score=24.2768 doc_id=h1ctx_0002_mpc_0001_incorrect_gap] A noisy retrieved note reports C (mp-1197903) with band gap -0.07970000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.2768 doc_id=h1ctx_0005_mpc_0002_incorrect_gap] A noisy retrieved note reports C (mp-1244964) with band gap -0.0724 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.2768 doc_id=h1ctx_0011_mpc_0004_incorrect_gap] A noisy retrieved note reports C (mp-1244913) with band gap -0.10600000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The retrieved context does not provide sufficient information to determine if C is thermodynamically stable. The notes available are marked as outdated or incorrect and focus on band gap, which is not directly indicative of thermodynamic stability.",outdated_or_incorrect,,0.5,qwen_judge,"The answer correctly states that the retrieved context does not provide sufficient information to determine if C is thermodynamically stable. The context focuses on band gap, which is not directly related to thermodynamic stability. However, the answer could have more explicitly noted that the provided data are marked as outdated or incorrect, which further weakens any potential claims about C's properties.",377,512,safety_aware
rag_mpc_0003_current_gap,materials,qwen_output,What is the band gap of O2?,"[rank=1 score=25.3749 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=25.3749 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=25.3749 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The retrieved context does not provide a reliable value for the band gap of O2, as all notes are marked as outdated_or_incorrect.",outdated_or_incorrect,,1.0,qwen_judge,"The answer correctly states that the retrieved context does not provide a reliable value for the band gap of O2, as all notes are marked as outdated_or_incorrect. This is fully supported by the given context.",361,466,safety_aware
rag_mpc_0003_incorrect_gap,materials,qwen_output,What is the band gap of O2?,"[rank=1 score=25.3749 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=25.3749 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=25.3749 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The retrieved context does not provide a reliable value for the band gap of O2, as all notes are marked as outdated_or_incorrect.",outdated_or_incorrect,,1.0,qwen_judge,"The answer correctly states that the retrieved context does not provide a reliable value for the band gap of O2, as all notes are marked as outdated_or_incorrect. This is fully supported by the given context.",361,466,safety_aware
rag_mpc_0003_incomplete_stability,materials,qwen_output,Is O2 thermodynamically stable?,"[rank=1 score=24.7444 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.7444 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.7444 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The provided context does not contain sufficient information to determine the thermodynamic stability of O2. The retrieved notes are marked as outdated or incorrect and pertain to band gaps, which do not directly indicate thermodynamic stability.",outdated_or_incorrect,,1.0,qwen_judge,"The answer correctly states that the provided context does not contain sufficient information to determine the thermodynamic stability of O2, and that the retrieved notes are marked as outdated or incorrect and pertain to band gaps, which do not directly indicate thermodynamic stability. This is a faithful representation of the information given in the context.",375,501,safety_aware
rag_mpc_0004_current_gap,materials,qwen_output,What is the band gap of C?,"[rank=1 score=24.9072 doc_id=h1ctx_0002_mpc_0001_incorrect_gap] A noisy retrieved note reports C (mp-1197903) with band gap -0.07970000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.9072 doc_id=h1ctx_0005_mpc_0002_incorrect_gap] A noisy retrieved note reports C (mp-1244964) with band gap -0.0724 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.9072 doc_id=h1ctx_0011_mpc_0004_incorrect_gap] A noisy retrieved note reports C (mp-1244913) with band gap -0.10600000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect.",outdated_or_incorrect,,1.0,qwen_judge,"The answer correctly states that the retrieved context does not provide a reliable value for the band gap of C, as all provided values are marked as outdated or incorrect. This is directly supported by the context.",362,465,safety_aware
