sample_id,domain,document_status,faithfulness_score,faithfulness_method,constraint_score,constraint_violations
rag_mpc_0001_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0001_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0001_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0002_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0002_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0002_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0003_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0003_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0003_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0004_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0004_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0004_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0005_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0005_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0005_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0006_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0006_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0006_incomplete_stability,materials,outdated_or_incorrect,0.5,provided_column,1.0,
rag_mpc_0007_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0007_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0007_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0008_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0008_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0008_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0009_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0009_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0009_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0010_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0010_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0010_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0011_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0011_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0011_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0012_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0012_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0012_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0013_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0013_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0013_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0014_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0014_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0014_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0015_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0015_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0015_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0016_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0016_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0016_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0017_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0017_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0017_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0018_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0018_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0018_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0019_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0019_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0019_incomplete_stability,materials,outdated_or_incorrect,0.5,provided_column,1.0,
rag_mpc_0020_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0020_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0020_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0021_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0021_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0021_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0022_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0022_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0022_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0023_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0023_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0023_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0024_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0024_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0024_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0025_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0025_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0025_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0026_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0026_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0026_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0027_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0027_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0027_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0028_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0028_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0028_incomplete_stability,materials,outdated_or_incorrect,0.5,provided_column,1.0,
rag_mpc_0029_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0029_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0029_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0030_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0030_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0030_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0031_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0031_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0031_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0032_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0032_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0032_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0033_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0033_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0033_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0034_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0034_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0034_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0035_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0035_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0035_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0036_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0036_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0036_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0037_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0037_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0037_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0038_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0038_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0038_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0039_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0039_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0039_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0040_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0040_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0040_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0041_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0041_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0041_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0042_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0042_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0042_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0043_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0043_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0043_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0044_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0044_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0044_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0045_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0045_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0045_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0046_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0046_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0046_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0047_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0047_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0047_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0048_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0048_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0048_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0049_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0049_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0049_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0050_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0050_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0050_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0051_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0051_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0051_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0052_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0052_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0052_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0053_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0053_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0053_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0054_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0054_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0054_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0055_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0055_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0055_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0056_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0056_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0056_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0057_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0057_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0057_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0058_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0058_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0058_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0059_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0059_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0059_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0060_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0060_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0060_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0061_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0061_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0061_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0062_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0062_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0062_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0063_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0063_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0063_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0064_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0064_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0064_incomplete_stability,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0065_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0065_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0065_incomplete_stability,materials,outdated_or_incorrect,0.0,provided_column,1.0,
rag_mpc_0066_current_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
rag_mpc_0066_incorrect_gap,materials,outdated_or_incorrect,1.0,provided_column,1.0,
