external_id,material_id,formula_pretty,constraint_family,question,retrieved_context,source_type,source_url,answer,pi_sret_constraint_score,pi_sret_violations,lexical_support,nli_proxy_support
mp_external_0001_band_gap,mp-974620,Rb,band_gap,What band gap is reported for Rb?,"Materials Project record mp-974620 reports Rb with band gap 0.0 eV, formation energy 0.036396663749999 eV/atom, energy above hull 0.036396663749999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-974620",materials_project,https://materialsproject.org/materials/mp-974620,The band gap reported for Rb is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0001_formation_energy,mp-974620,Rb,formation_energy,What formation energy is reported for Rb?,"Materials Project record mp-974620 reports Rb with band gap 0.0 eV, formation energy 0.036396663749999 eV/atom, energy above hull 0.036396663749999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-974620",materials_project,https://materialsproject.org/materials/mp-974620,The formation energy reported for Rb is 0.036396663749999 eV/atom.,1.0,,0.5,0.5
mp_external_0001_stability,mp-974620,Rb,stability,Is Rb stable according to this record?,"Materials Project record mp-974620 reports Rb with band gap 0.0 eV, formation energy 0.036396663749999 eV/atom, energy above hull 0.036396663749999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-974620",materials_project,https://materialsproject.org/materials/mp-974620,"According to the record, Rb is not stable.",1.0,,0.5,0.45
mp_external_0002_band_gap,mp-1059259,Cu,band_gap,What band gap is reported for Cu?,"Materials Project record mp-1059259 reports Cu with band gap 0.0 eV, formation energy 0.155768219999998 eV/atom, energy above hull 0.155768219999998 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1059259",materials_project,https://materialsproject.org/materials/mp-1059259,The band gap reported for Cu is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0002_formation_energy,mp-1059259,Cu,formation_energy,What formation energy is reported for Cu?,"Materials Project record mp-1059259 reports Cu with band gap 0.0 eV, formation energy 0.155768219999998 eV/atom, energy above hull 0.155768219999998 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1059259",materials_project,https://materialsproject.org/materials/mp-1059259,The formation energy reported for Cu is 0.155768219999998 eV/atom.,0.0,elemental_formation_energy_reference_conflict,0.5,0.5
mp_external_0002_stability,mp-1059259,Cu,stability,Is Cu stable according to this record?,"Materials Project record mp-1059259 reports Cu with band gap 0.0 eV, formation energy 0.155768219999998 eV/atom, energy above hull 0.155768219999998 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1059259",materials_project,https://materialsproject.org/materials/mp-1059259,"No, Cu is not stable according to this record.",1.0,,0.2222222222222222,0.2222222222222222
mp_external_0003_band_gap,mp-1067880,Ga,band_gap,What band gap is reported for Ga?,"Materials Project record mp-1067880 reports Ga with band gap 0.0 eV, formation energy 0.011309182499999 eV/atom, energy above hull 0.011309182499999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1067880",materials_project,https://materialsproject.org/materials/mp-1067880,The band gap reported for Ga is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0003_formation_energy,mp-1067880,Ga,formation_energy,What formation energy is reported for Ga?,"Materials Project record mp-1067880 reports Ga with band gap 0.0 eV, formation energy 0.011309182499999 eV/atom, energy above hull 0.011309182499999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1067880",materials_project,https://materialsproject.org/materials/mp-1067880,The formation energy reported for Ga is 0.011309182499999 eV/atom.,1.0,,0.5,0.5
mp_external_0003_stability,mp-1067880,Ga,stability,Is Ga stable according to this record?,"Materials Project record mp-1067880 reports Ga with band gap 0.0 eV, formation energy 0.011309182499999 eV/atom, energy above hull 0.011309182499999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1067880",materials_project,https://materialsproject.org/materials/mp-1067880,"No, Ga is not stable according to this record.",1.0,,0.2222222222222222,0.2222222222222222
mp_external_0004_band_gap,mp-568610,Bi,band_gap,What band gap is reported for Bi?,"Materials Project record mp-568610 reports Bi with band gap 0.0 eV, formation energy 0.235286974999993 eV/atom, energy above hull 0.235286974999993 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-568610",materials_project,https://materialsproject.org/materials/mp-568610,The band gap reported for Bi is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0004_formation_energy,mp-568610,Bi,formation_energy,What formation energy is reported for Bi?,"Materials Project record mp-568610 reports Bi with band gap 0.0 eV, formation energy 0.235286974999993 eV/atom, energy above hull 0.235286974999993 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-568610",materials_project,https://materialsproject.org/materials/mp-568610,The formation energy reported for Bi is 0.235286974999993 eV/atom.,0.0,elemental_formation_energy_reference_conflict,0.5,0.5
mp_external_0004_stability,mp-568610,Bi,stability,Is Bi stable according to this record?,"Materials Project record mp-568610 reports Bi with band gap 0.0 eV, formation energy 0.235286974999993 eV/atom, energy above hull 0.235286974999993 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-568610",materials_project,https://materialsproject.org/materials/mp-568610,"No, Bi is not stable according to this record.",1.0,,0.2222222222222222,0.2222222222222222
mp_external_0005_band_gap,mp-639727,Cs,band_gap,What band gap is reported for Cs?,"Materials Project record mp-639727 reports Cs with band gap 0.0 eV, formation energy 0.0198479075 eV/atom, energy above hull 0.0198479075 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-639727",materials_project,https://materialsproject.org/materials/mp-639727,The band gap reported for Cs is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0005_formation_energy,mp-639727,Cs,formation_energy,What formation energy is reported for Cs?,"Materials Project record mp-639727 reports Cs with band gap 0.0 eV, formation energy 0.0198479075 eV/atom, energy above hull 0.0198479075 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-639727",materials_project,https://materialsproject.org/materials/mp-639727,The formation energy reported for Cs is 0.0198479075 eV/atom.,1.0,,0.5,0.5
mp_external_0005_stability,mp-639727,Cs,stability,Is Cs stable according to this record?,"Materials Project record mp-639727 reports Cs with band gap 0.0 eV, formation energy 0.0198479075 eV/atom, energy above hull 0.0198479075 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-639727",materials_project,https://materialsproject.org/materials/mp-639727,"According to the record, Cs is not stable.",1.0,,0.5,0.45
mp_external_0006_band_gap,mp-979285,Xe,band_gap,What band gap is reported for Xe?,"Materials Project record mp-979285 reports Xe with band gap 6.236800000000001 eV, formation energy 0.00193749 eV/atom, energy above hull 0.00193749 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-979285",materials_project,https://materialsproject.org/materials/mp-979285,The band gap reported for Xe is 6.2368 eV.,1.0,,0.3333333333333333,0.3333333333333333
mp_external_0006_formation_energy,mp-979285,Xe,formation_energy,What formation energy is reported for Xe?,"Materials Project record mp-979285 reports Xe with band gap 6.236800000000001 eV, formation energy 0.00193749 eV/atom, energy above hull 0.00193749 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-979285",materials_project,https://materialsproject.org/materials/mp-979285,The formation energy reported for Xe is 0.00193749 eV/atom.,1.0,,0.5,0.5
mp_external_0006_stability,mp-979285,Xe,stability,Is Xe stable according to this record?,"Materials Project record mp-979285 reports Xe with band gap 6.236800000000001 eV, formation energy 0.00193749 eV/atom, energy above hull 0.00193749 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-979285",materials_project,https://materialsproject.org/materials/mp-979285,"According to the Materials Project record mp-979285, Xe is not stable.",1.0,,0.6363636363636364,0.75
mp_external_0007_band_gap,mp-10753,Er,band_gap,What band gap is reported for Er?,"Materials Project record mp-10753 reports Er with band gap 0.0 eV, formation energy 0.139390026666667 eV/atom, energy above hull 0.139390026666667 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-10753",materials_project,https://materialsproject.org/materials/mp-10753,The band gap reported for Er is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0007_formation_energy,mp-10753,Er,formation_energy,What formation energy is reported for Er?,"Materials Project record mp-10753 reports Er with band gap 0.0 eV, formation energy 0.139390026666667 eV/atom, energy above hull 0.139390026666667 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-10753",materials_project,https://materialsproject.org/materials/mp-10753,The formation energy reported for Er is 0.139390026666667 eV/atom.,0.0,elemental_formation_energy_reference_conflict,0.5,0.5
mp_external_0007_stability,mp-10753,Er,stability,Is Er stable according to this record?,"Materials Project record mp-10753 reports Er with band gap 0.0 eV, formation energy 0.139390026666667 eV/atom, energy above hull 0.139390026666667 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-10753",materials_project,https://materialsproject.org/materials/mp-10753,"No, Er is not stable according to this record.",1.0,,0.2222222222222222,0.2222222222222222
