error_type,盲标编号,sample_id,response_id,base_task_id,constraint_family,document_status,source_kind,model,mode,是否存在科学违规_A,是否存在科学违规_B,违规类型（可多选）_A,违规类型（可多选）_B,严重程度_A,严重程度_B,来源说明是否充分_A,来源说明是否充分_B,标注信心_A,标注信心_B,expert_agreement,protocol_adjudicated_label,protocol_adjudicated_violation,protocol_adjudicated_type,protocol_adjudicated_severity,protocol_adjudication_basis,protocol_adjudication_method,auto_violation,auto_constraint_violations_optimized,qwen_plus_violation,qwen_max_violation,human_final_label,human_final_violation,human_final_type,human_final_severity,human_final_basis,human_final_method,专家判断理由_A,专家判断理由_B
false_positive,BLIND-0043,mp_bal_v2_0154_formation_current,resp_00789662734d3b93,task_ce6e76b15e9d30b1,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答忠实复述上下文给出的真实数据库记录值，未作无依据推断，无违规。,回答与上下文记录一致，无违规。
false_positive,BLIND-0060,mp_bal_v2_0620_formation_current,resp_00f6303a95a21cc7,task_2ad547127f803dc4,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答忠实复述上下文给出的真实数据库记录值，未作无依据推断，无违规。,回答与上下文记录一致，无违规。
false_positive,BLIND-0061,mp_bal_v2_0724_formation_current,resp_00fcbc9929e747e6,task_fd655b1eeffec26d,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,formation_energy_typical_range,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答忠实复述上下文给出的真实数据库记录值，未作无依据推断，无违规。,回答与上下文记录一致，无违规。
false_positive,BLIND-0066,mp_bal_v2_0821_formation_current,resp_0132e6f9514ee0d6,task_69115eb6e526fcbd,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答忠实复述上下文给出的真实数据库记录值，未作无依据推断，无违规。,回答与上下文记录一致，无违规。
false_positive,BLIND-0081,mp_bal_v2_0653_formation_current,resp_01af79feb3c5f331,task_7db108fbd3f40df6,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答忠实复述上下文给出的真实数据库记录值，未作无依据推断，无违规。,回答与上下文记录一致，无违规。
false_positive,BLIND-0091,mp_bal_v2_0292_formation_current,resp_0234289563a7991e,task_f200b2872c0abb9c,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答忠实复述上下文给出的真实数据库记录值，未作无依据推断，无违规。,回答与上下文记录一致，无违规。
false_positive,BLIND-0100,mp_bal_v2_0114_formation_current,resp_0267c851ee2e91f2,task_9656e4f8a978d783,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答忠实复述上下文给出的真实数据库记录值，未作无依据推断，无违规。,回答与上下文记录一致，无违规。
false_positive,BLIND-0119,mp_bal_v2_0173_formation_current,resp_03259d64822a48e7,task_b7fe803e5ddbd61a,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答忠实复述上下文给出的真实数据库记录值，未作无依据推断，无违规。,回答与上下文记录一致，无违规。
false_positive,BLIND-0157,natural_arxiv_current_0226,resp_0a650c5974f3505e,task_313c33616f21d141,superconductivity,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,True,valid_chemical_symbols,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
false_positive,BLIND-0170,natural_arxiv_current_0108,resp_10af303045d52e60,task_1051e103a3820d87,temperature,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,True,valid_chemical_symbols,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
false_positive,BLIND-0177,natural_arxiv_current_0217,resp_134c9a14b1e3a35b,task_ee5ac6e94dcc3337,superconductivity,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,valid_chemical_symbols,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答准确概括了该真实文献的主要科学结论，与来源一致，无违规。,回答与文献结论一致，无违规。
false_positive,BLIND-0178,natural_arxiv_current_0051,resp_13d6ac3dca729ab9,task_89e0e59b3b679e43,stability,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,valid_chemical_symbols,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus,回答准确概括了该真实文献的主要科学结论，与来源一致，无违规。,回答与文献结论一致，无违规。
