record_id,blind_id,constraint_family,document_status,source_kind,sampling_seed
resp_00d2d244b46f9bb0,BLIND-0052,band_gap,outdated_or_incorrect,materials_project_derived,42
resp_006ca06845faf507,BLIND-0040,band_gap,outdated_or_incorrect,materials_project_derived,42
resp_00d381733ff87166,BLIND-0053,band_gap,current,materials_project_derived,42
resp_02749c33051e6d52,BLIND-0103,band_gap,outdated_or_incorrect,materials_project_derived,42
resp_03a74e4dfc2e6f4e,BLIND-0127,band_gap,outdated_or_incorrect,materials_project_derived,42
resp_01a879b255089ddf,BLIND-0080,band_gap,outdated_or_incorrect,materials_project_derived,42
resp_03c41bfa58459469,BLIND-0129,band_gap,outdated_or_incorrect,materials_project_derived,42
resp_0135c76207452f1f,BLIND-0068,formation_energy,current,materials_project_derived,42
resp_013a5b6f64fffd39,BLIND-0069,formation_energy,outdated_or_incorrect,materials_project_derived,42
resp_013360c15aa9fb4b,BLIND-0067,formation_energy,outdated_or_incorrect,materials_project_derived,42
resp_000e7d4b6718e189,BLIND-0034,formation_energy,outdated_or_incorrect,materials_project_derived,42
resp_0270f5ac75d48363,BLIND-0102,formation_energy,current,materials_project_derived,42
resp_0132e6f9514ee0d6,BLIND-0066,formation_energy,current,materials_project_derived,42
resp_0240428b3221a165,BLIND-0093,formation_energy,current,materials_project_derived,42
resp_05d16a0dbb54d998,BLIND-0142,stability,incomplete,materials_project_derived,42
resp_010495863986ae65,BLIND-0062,stability,incomplete,materials_project_derived,42
resp_0001858ac01dbee3,BLIND-0033,stability,incomplete,materials_project_derived,42
resp_053b3087c4dcc591,BLIND-0140,stability,incomplete,materials_project_derived,42
resp_03172b8f871f6a6e,BLIND-0116,stability,incomplete,materials_project_derived,42
resp_1d9574ed2a1a1a2a,BLIND-0186,stability,incomplete,real_arxiv_abstract,42
resp_01d9cbfe8f555361,BLIND-0083,stability,incomplete,materials_project_derived,42
resp_050386ffc42b4c7f,BLIND-0018,chemical_formula,outdated_or_incorrect,derived_response,42
resp_0351425482539959,BLIND-0190,chemical_formula,incomplete,derived_response,42
resp_027f521cbef2e473,BLIND-0150,chemical_formula,current,real_arxiv_abstract,42
resp_1f409743e1de8a0e,BLIND-0032,chemical_formula,outdated_or_incorrect,derived_response,42
resp_0a615ba1de4a0db0,BLIND-0015,chemical_formula,outdated_or_incorrect,derived_response,42
resp_0363b0158b7b23b9,BLIND-0191,chemical_formula,current,derived_response,42
resp_04dca5bc52b8a2c4,BLIND-0017,chemical_formula,outdated_or_incorrect,derived_response,42
resp_024a1fee854a603a,BLIND-0026,temperature,outdated_or_incorrect,materials_project_derived,42
resp_1318fefae6113d4a,BLIND-0176,temperature,incomplete,real_arxiv_abstract,42
resp_062e2f0697a5bd8c,BLIND-0011,temperature,outdated_or_incorrect,materials_project_derived,42
resp_08b051d857c114aa,BLIND-0029,temperature,current,derived_response,42
resp_0cb2223497a3b83d,BLIND-0030,temperature,current,derived_response,42
resp_0afb459b5204de6d,BLIND-0020,temperature,outdated_or_incorrect,materials_project_derived,42
resp_13694590d80d6647,BLIND-0195,temperature,outdated_or_incorrect,derived_response,42
resp_00abb9c53745cb22,BLIND-0025,pressure,current,derived_response,42
resp_24e4b834411c5b77,BLIND-0021,pressure,current,derived_response,42
resp_080d9371a2b5d8c3,BLIND-0004,pressure,current,derived_response,42
resp_42efa3814ab84359,BLIND-0199,pressure,outdated_or_incorrect,derived_response,42
resp_049e515c19216bbf,BLIND-0028,pressure,current,derived_response,42
resp_1240fc3baa006b5b,BLIND-0172,pressure,incomplete,real_arxiv_abstract,42
resp_0855d31aa9a58495,BLIND-0014,pressure,current,derived_response,42
resp_2a30b6719c7570e4,BLIND-0198,superconductivity,incomplete,derived_response,42
resp_1938e8aca858829a,BLIND-0197,superconductivity,current,derived_response,42
resp_094122c8a374dfbd,BLIND-0156,superconductivity,incomplete,real_arxiv_abstract,42
resp_11374dccf007ac35,BLIND-0171,superconductivity,incomplete,real_arxiv_abstract,42
resp_154ac686aa96236f,BLIND-0180,superconductivity,incomplete,real_arxiv_abstract,42
resp_0c1ec2462e232ca9,BLIND-0161,superconductivity,current,real_arxiv_abstract,42
resp_1243c75136731d5e,BLIND-0173,superconductivity,incomplete,real_arxiv_abstract,42
resp_023821568da737de,BLIND-0148,natural_claim,current,real_arxiv_abstract,42
