record_id,question,answer,gold_material,gold_formula,gold_numeric_value,gold_unit,gold_property,gold_phase,gold_structure,gold_method,gold_evidence,gold_qualifier,annotator_comment,annotation_complete
resp_00d2d244b46f9bb0,What is the band gap of Mg4Si3?,The band gap of Mg4Si3 is -0.05 eV.,Mg4Si3,Mg4Si3,-0.05,eV,band_gap,,,,band gap,,,yes
resp_006ca06845faf507,What is the band gap of Zr?,The band gap of Zr is -0.05 eV.,Zr,Zr,-0.05,eV,band_gap,,,,band gap,,,yes
resp_00d381733ff87166,What is the band gap of MgSi?,The band gap of MgSi is 0.0 eV according to Materials Project.,MgSi,MgSi,0.0,eV,band_gap,,,Materials Project,band gap,according to Materials Project,,yes
resp_02749c33051e6d52,What is the band gap of Se?,The band gap of Se is -0.05 eV.,Se,Se,-0.05,eV,band_gap,,,,band gap,,,yes
resp_03a74e4dfc2e6f4e,Is Mg4Si7 metallic or insulating based on its band gap?,Mg4Si7 is an insulator with a band gap of 0.0 eV.,Mg4Si7,Mg4Si7,0.0,eV,conductivity; band_gap,,,,band gap,insulator,,yes
resp_01a879b255089ddf,What is the band gap of La?,The band gap of La is 16.5 eV.,La,La,16.5,eV,band_gap,,,,band gap,,,yes
resp_03c41bfa58459469,Is O2 metallic or insulating based on its band gap?,O2 is an insulator with a band gap of 0.0 eV.,O2,O2,0.0,eV,conductivity; band_gap,,,,band gap,insulator,,yes
resp_0135c76207452f1f,What is the formation energy of Ag?,The formation energy of Ag is 0.0021267149999990003 eV/atom.,Ag,Ag,0.0021267149999990003,eV/atom,formation_energy,,,,formation energy,,,yes
resp_013a5b6f64fffd39,What is the formation energy of Pu?,The formation energy of Pu is 5.5 eV/atom.,Pu,Pu,5.5,eV/atom,formation_energy,,,,formation energy,,,yes
resp_013360c15aa9fb4b,What is the formation energy of Si?,The formation energy of Si is 5.5 eV/atom.,Si,Si,5.5,eV/atom,formation_energy,,,,formation energy,,,yes
resp_000e7d4b6718e189,What is the formation energy of U?,The formation energy of U is 5.5 eV/atom.,U,U,5.5,eV/atom,formation_energy,,,,formation energy,,,yes
resp_0270f5ac75d48363,What is the formation energy of Tb?,The formation energy of Tb is 0.031530149999998 eV/atom.,Tb,Tb,0.031530149999998,eV/atom,formation_energy,,,,formation energy,,,yes
resp_0132e6f9514ee0d6,What is the formation energy of Br?,The formation energy of Br is 0.08391820500000001 eV/atom.,Br,Br,0.08391820500000001,eV/atom,formation_energy,,,,formation energy,,,yes
resp_0240428b3221a165,Is Na thermodynamically stable?,Na has energy above hull 0.006627077500000001 eV/atom and formation energy 0.006627077500000001 eV/atom; Materials Project stable is False.,Na,Na,0.006627077500000001; 0.006627077500000001,eV/atom; eV/atom,stability; formation_energy,,,Materials Project,energy above hull; formation energy; stable is False,False,,yes
resp_05d16a0dbb54d998,Is S thermodynamically stable?,S is stable.,S,S,,,stability,,,,stable,stable,,yes
resp_010495863986ae65,Is Mg thermodynamically stable?,Mg is stable.,Mg,Mg,,,stability,,,,stable,stable,,yes
resp_0001858ac01dbee3,Is Si thermodynamically stable?,Si is stable.,Si,Si,,,stability,,,,stable,stable,,yes
resp_053b3087c4dcc591,Is Cl2 thermodynamically stable?,Cl2 is stable.,Cl2,Cl2,,,stability,,,,stable,stable,,yes
resp_03172b8f871f6a6e,Is Te thermodynamically stable?,Te is stable.,Te,Te,,,stability,,,,stable,stable,,yes
