盲标编号,sample_id,response_id,base_task_id,constraint_family,document_status,source_kind,model,mode,是否存在科学违规_A,是否存在科学违规_B,违规类型（可多选）_A,违规类型（可多选）_B,严重程度_A,严重程度_B,来源说明是否充分_A,来源说明是否充分_B,标注信心_A,标注信心_B,expert_agreement,protocol_adjudicated_label,protocol_adjudicated_violation,protocol_adjudicated_type,protocol_adjudicated_severity,protocol_adjudication_basis,protocol_adjudication_method,auto_violation,auto_constraint_violations_optimized,qwen_plus_violation,qwen_max_violation,human_final_label,human_final_violation,human_final_type,human_final_severity,human_final_basis,human_final_method,专家判断理由_A,专家判断理由_B
BLIND-0114,mp_bal_v2_0133_conductivity_gap_conflict,resp_02e2584a2078bf05,task_0cf4c22a6a2b9716,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,否,电导率-带隙一致性,无违规,主要错误,无违规,不充分,不充分,中,中,False,是,True,电导率-带隙一致性,主要错误,回答存在内部性质矛盾或在缺乏必要证据时作出确定科学断言,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,"问题明确以""根据带隙判断""为框架，所给带隙=0.0 eV。回答同时断言""N2是绝缘体，带隙为0.0 eV""，将0 eV带隙与绝缘体标签并列，构成内部物理矛盾（0 eV带隙按定义对应金属，非绝缘体）。该不一致与N2真实物性无关，属于电导率-带隙一致性违规。",independent_third_human_adjudication,"上下文给出带隙 0.0 eV，按""根据带隙判断""应为金属，回答却判绝缘体，电导率-带隙一致性违规。",N2 实为绝缘体（分子晶体），回答与物理事实一致；虽与记录中 0.0 eV 不自洽，但不构成科学约束违规，判无违规。
BLIND-0129,mp_bal_v2_0810_conductivity_gap_conflict,resp_03c41bfa58459469,task_bd071300988672e7,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,否,电导率-带隙一致性,无违规,主要错误,无违规,不充分,不充分,中,中,False,是,True,电导率-带隙一致性,主要错误,回答存在内部性质矛盾或在缺乏必要证据时作出确定科学断言,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,"与BLIND-0114同构：所给带隙=0.0 eV，回答却称""O2是绝缘体，带隙为0.0 eV""，0 eV带隙与绝缘体标签自相矛盾，构成电导率-带隙一致性违规。",independent_third_human_adjudication,"上下文给出带隙 0.0 eV，按""根据带隙判断""应为金属，回答却判绝缘体，电导率-带隙一致性违规。",O2 实为绝缘体（分子晶体），回答与物理事实一致；虽与记录中 0.0 eV 不自洽，但不构成科学约束违规，判无违规。
BLIND-0148,natural_arxiv_current_0014,resp_023821568da737de,task_a396574e856b77c6,natural_claim,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0151,natural_arxiv_noisy_0009,resp_02ade0d87e9c584b,task_1f1bb8b90ecd8530,natural_claim,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0152,natural_arxiv_current_0107,resp_0521cf4be630bab4,task_f7c2134dfb8731d3,natural_claim,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0153,natural_arxiv_current_0194,resp_06064ea6ce1c8a2b,task_8a7b77f4261c28d6,superconductivity,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0154,natural_arxiv_current_0075,resp_0639051a9254d281,task_88791629c529c265,natural_claim,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0156,natural_arxiv_noisy_0023,resp_094122c8a374dfbd,task_9f346e3fa7dab149,superconductivity,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0157,natural_arxiv_current_0226,resp_0a650c5974f3505e,task_313c33616f21d141,superconductivity,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,True,valid_chemical_symbols,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0159,natural_arxiv_noisy_0234,resp_0bac44c6afefeec8,task_c1fb8bdd16aee410,temperature,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0160,natural_arxiv_noisy_0076,resp_0be44476ceb08065,task_e6c355d01624fec5,stability,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0161,natural_arxiv_current_0197,resp_0c1ec2462e232ca9,task_d0e7cc1f4b2a6b95,superconductivity,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0163,natural_arxiv_current_0042,resp_0c918879a382962f,task_0789fe70d0afa0bb,natural_claim,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
