盲标编号,sample_id,response_id,base_task_id,constraint_family,document_status,source_kind,model,mode,是否存在科学违规_A,是否存在科学违规_B,违规类型（可多选）_A,违规类型（可多选）_B,严重程度_A,严重程度_B,来源说明是否充分_A,来源说明是否充分_B,标注信心_A,标注信心_B,expert_agreement,protocol_adjudicated_label,protocol_adjudicated_violation,protocol_adjudicated_type,protocol_adjudicated_severity,protocol_adjudication_basis,protocol_adjudication_method,auto_violation,auto_constraint_violations_optimized,qwen_plus_violation,qwen_max_violation,human_final_label,human_final_violation,human_final_type,human_final_severity,human_final_basis,human_final_method
BLIND-0001,rag_cov_03_02_incorrect,resp_02dca3de50d40c37,task_e79475fdfd3fd9cf,pressure,current,derived_response,deepseek-r1,naive_context,否,否,压力,无违规,无违规,无违规,不充分,不充分,中,中,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0002,rag_cov_01_04_incorrect,resp_0484bfdaadffe156,task_529b912df8bf3701,chemical_formula,outdated_or_incorrect,derived_response,deepseek-r1,naive_context,是,是,化学式,化学式,主要错误,主要错误,不充分,不充分,高,高,True,是,True,化学式,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,valid_chemical_symbols,True,True,是,True,化学式,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0003,rag_cov_01_07_current,resp_05372ec3686f8b99,task_529b912df8bf3701,chemical_formula,outdated_or_incorrect,derived_response,deepseek-r1,naive_context,是,是,化学式,化学式,主要错误,主要错误,不充分,不充分,高,高,True,是,True,化学式,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,valid_chemical_symbols,True,True,是,True,化学式,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0004,rag_cov_03_15_current,resp_080d9371a2b5d8c3,task_e79475fdfd3fd9cf,pressure,current,derived_response,deepseek-r1,naive_context,否,否,压力,无违规,无违规,无违规,不充分,不充分,中,中,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0005,rag_cov_02_01_current,resp_0999373004314463,task_8c9b67d05cf270b4,temperature,outdated_or_incorrect,materials_project_derived,deepseek-r1,naive_context,否,否,温度,无违规,无违规,无违规,不充分,不充分,中,中,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0006,rag_cov_04_07_incorrect,resp_0b0474c3a843dfb4,task_59cec384a6df5bdb,temperature,current,derived_response,deepseek-r1,naive_context,否,否,超导性,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0007,rag_cov_04_09_incorrect,resp_0fc7e6ffc6698586,task_59cec384a6df5bdb,temperature,current,derived_response,deepseek-r1,naive_context,否,否,超导性,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0008,rag_cov_02_15_incorrect,resp_1d3aeedc4f3b348b,task_8c9b67d05cf270b4,temperature,outdated_or_incorrect,materials_project_derived,deepseek-r1,naive_context,否,否,温度,无违规,无违规,无违规,不充分,不充分,中,中,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0009,rag_cov_03_11_incorrect,resp_009a4cfc20de9b0f,task_e79475fdfd3fd9cf,pressure,current,derived_response,deepseek-r1,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0010,rag_cov_02_09_incorrect,resp_03d8a87ce306d4a5,task_8c9b67d05cf270b4,temperature,outdated_or_incorrect,materials_project_derived,deepseek-r1,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0011,rag_cov_02_01_incorrect,resp_062e2f0697a5bd8c,task_8c9b67d05cf270b4,temperature,outdated_or_incorrect,materials_project_derived,deepseek-r1,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0012,rag_cov_01_07_incorrect,resp_06e10ba4752ea1d2,task_529b912df8bf3701,chemical_formula,outdated_or_incorrect,derived_response,deepseek-r1,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0013,rag_cov_04_14_incorrect,resp_07a7490644aa2648,task_59cec384a6df5bdb,temperature,current,derived_response,deepseek-r1,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0014,rag_cov_03_01_incorrect,resp_0855d31aa9a58495,task_e79475fdfd3fd9cf,pressure,current,derived_response,deepseek-r1,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0015,rag_cov_01_04_incorrect,resp_0a615ba1de4a0db0,task_529b912df8bf3701,chemical_formula,outdated_or_incorrect,derived_response,deepseek-r1,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0016,rag_cov_04_05_incorrect,resp_0c7f595945ca99cf,task_59cec384a6df5bdb,temperature,current,derived_response,deepseek-r1,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0017,rag_cov_01_05_current,resp_04dca5bc52b8a2c4,task_529b912df8bf3701,chemical_formula,outdated_or_incorrect,derived_response,qwen-max,naive_context,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0018,rag_cov_01_06_incorrect,resp_050386ffc42b4c7f,task_529b912df8bf3701,chemical_formula,outdated_or_incorrect,derived_response,qwen-max,naive_context,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0019,rag_cov_02_03_incorrect,resp_053c5d4e75343737,task_8c9b67d05cf270b4,temperature,outdated_or_incorrect,materials_project_derived,qwen-max,naive_context,否,否,温度,无违规,无违规,无违规,不充分,不充分,中,中,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0020,rag_cov_02_15_incorrect,resp_0afb459b5204de6d,task_8c9b67d05cf270b4,temperature,outdated_or_incorrect,materials_project_derived,qwen-max,naive_context,否,否,温度,无违规,无违规,无违规,不充分,不充分,中,中,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0021,rag_cov_03_10_incorrect,resp_24e4b834411c5b77,task_e79475fdfd3fd9cf,pressure,current,derived_response,qwen-max,naive_context,否,否,压力,无违规,无违规,无违规,不充分,不充分,中,中,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0022,rag_cov_03_08_current,resp_2b8e662d851b1921,task_e79475fdfd3fd9cf,pressure,current,derived_response,qwen-max,naive_context,否,否,压力,无违规,无违规,无违规,不充分,不充分,中,中,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
